Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3078.7,7.5235,445.43,6.7438,0.13777,0.064455,0.11934,0.15943,0.35642,0.12908,0.47077,0.11307,0.062467,1.6128049185132582
3089.3,7.4162,445.48,6.7455,0.13915,0.064319,0.11941,0.15932,0.35607,0.12844,0.54774,0.11293,0.06305,1.6904209585252012
3088.0,7.4206,445.32,6.7242,0.13996,0.064215,0.11945,0.15928,0.35617,0.12814,0.58937,0.11245,0.063313,1.7323465458259568
3095.2,7.3447,445.64,6.8153,0.13726,0.064485,0.11915,0.1596,0.36346,0.12918,0.61119,0.11517,0.06245,1.7619466952012905
3066.7,7.3558,439.83,6.8038,0.13439,0.065517,0.11932,0.15858,0.37412,0.13104,0.64782,0.1139,0.061497,1.8061781617479433
3107.7,7.3446,447.05,6.7937,0.13885,0.064284,0.11931,0.15944,0.36434,0.12842,0.67625,0.11414,0.063006,1.8280438388065263
3097.3,7.3859,445.66,6.8353,0.13583,0.064786,0.11918,0.15935,0.37477,0.12986,0.68928,0.11526,0.061959,1.8502780989584957
3067.4,7.5855,445.4,6.7389,0.1372,0.064478,0.11923,0.15962,0.36445,0.12929,0.72871,0.11335,0.06226,1.8785857531271308
3065.2,6.9684,436.51,6.804,0.13603,0.065578,0.11917,0.15816,0.37101,0.13076,0.74059,0.11429,0.062271,1.8978528247657203
3062.6,7.435,439.77,6.8206,0.133,0.065907,0.11937,0.15813,0.39514,0.13177,0.73407,0.11387,0.061041,1.9123092839237794
