Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
535.09,0.50025,107.32,15.897,1.6036e-05,0.063199,0.085563,0.055165,0.12809,0.069082,0.18307,0.5841694174496442
544.33,0.50168,106.66,15.974,1.8484e-05,0.063142,0.08546,0.055177,0.1282,0.06919,0.18862,0.5897832605222028
527.27,0.51312,107.04,12.711,1.5986e-05,0.064197,0.087134,0.055353,0.12794,0.067569,0.18838,0.5905797101033559
538.62,0.50006,105.49,15.903,1.5018e-05,0.063148,0.085422,0.055205,0.12837,0.069255,0.19186,0.5932553379538021
526.96,0.50133,108.45,15.826,1.6099e-05,0.06327,0.085692,0.055138,0.12787,0.068933,0.194,0.5949028044391272
532.65,0.50064,107.13,15.898,1.6762e-05,0.063217,0.085544,0.05515,0.12804,0.069096,0.19747,0.5985208358319531
531.58,0.50023,108.95,15.893,1.5732e-05,0.06324,0.085699,0.055142,0.12788,0.068926,0.1981,0.5989879669678791
527.18,0.50133,109.1,15.662,1.6097e-05,0.063318,0.0858,0.055146,0.12779,0.068818,0.199,0.5998733598590282
503.38,0.5002,102.32,15.5,5.1625e-06,0.062964,0.085517,0.055473,0.12894,0.069221,0.19972,0.6018281070180223
503.38,0.50023,102.32,15.811,5.1625e-06,0.062874,0.085397,0.055478,0.12901,0.069335,0.20226,0.6043542578922348
