Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
66.908,175.94,98.163,2.1344,0.053953,0.10464,0.044459,0.14049,0.22792,0.065303,0.32676,0.12685,0.097148,1.18752193371899
72.591,173.05,98.131,2.0844,0.052839,0.1048,0.047069,0.14081,0.22774,0.068001,0.32748,0.12644,0.097327,1.192512342658612
67.805,178.9,97.325,2.1228,0.053642,0.10459,0.044927,0.14057,0.22786,0.065725,0.33522,0.12684,0.09712,1.196491792925173
69.459,179.97,96.779,2.1496,0.053577,0.10446,0.044663,0.14047,0.22775,0.065378,0.34753,0.12688,0.09721,1.2079170368759538
69.435,178.85,98.769,2.1681,0.053868,0.1047,0.04431,0.1404,0.2278,0.065045,0.3485,0.12688,0.097291,1.2087947749714862
73.844,179.36,97.644,2.0269,0.052191,0.10478,0.049031,0.14119,0.22773,0.069775,0.34133,0.12632,0.097293,1.2096478204771037
67.317,179.62,97.262,2.1116,0.053609,0.10461,0.045086,0.14061,0.22789,0.065891,0.3552,0.12684,0.097077,1.2168142302855371
65.778,178.9,96.326,2.2067,0.054502,0.10427,0.04258,0.14013,0.22784,0.063128,0.37401,0.1272,0.09726,1.2309237022680688
48.957,479.72,108.74,2.1084,0.054326,0.10836,0.043442,0.14119,0.22872,0.061438,0.3851,0.12857,0.097113,1.2482615340988947
69.034,179.28,97.28,2.0573,0.052954,0.10481,0.046929,0.14091,0.22787,0.067781,0.39567,0.12662,0.09707,1.2606061189368705
