Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3998.8,0.71748,146.95,19.532,0.095589,0.13096,0.059983,0.14508,1.1594,0.2369,0.070884,0.13906,0.11666,2.154467328837575
3887.0,0.6467,142.15,19.242,0.094754,0.1333,0.060111,0.14494,1.1201,0.31351,0.069736,0.13819,0.12058,2.1951956833167183
3733.1,0.56833,129.8,19.72,0.094646,0.1341,0.059488,0.14466,1.1311,0.38075,0.069099,0.13913,0.12061,2.273618280713437
3809.9,0.60721,137.43,19.232,0.094466,0.13451,0.060104,0.14476,1.0791,0.43244,0.069074,0.13791,0.12224,2.274638617670805
3997.0,0.5458,131.5,18.604,0.095359,0.13314,0.060069,0.14435,1.1775,0.34707,0.06885,0.13852,0.11669,2.2815558715246405
3914.0,0.62864,141.26,19.149,0.094737,0.1331,0.060111,0.14494,1.2161,0.30665,0.069796,0.13835,0.12024,2.2840725451848036
3943.2,0.77725,167.7,19.0,0.09357,0.13336,0.061263,0.14599,1.2638,0.29017,0.071054,0.13665,0.12765,2.3234613041652077
3985.6,0.62963,133.94,19.226,0.096238,0.1316,0.059552,0.14438,1.3328,0.24418,0.069462,0.13926,0.1132,2.3307094617686577
3976.6,0.58032,137.27,18.813,0.094914,0.13297,0.060146,0.14475,1.2944,0.31502,0.069516,0.13847,0.11878,2.3690026885794935
3688.9,0.56572,128.36,19.722,0.09462,0.13485,0.059521,0.14453,1.1499,0.46748,0.06865,0.13878,0.12135,2.379630890196793
