Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
312.03,72.079,75.754,10.963,0.13315,0.1103,0.37474,0.22366,0.037064,0.034602,0.10882,0.051868,0.14322,1.2174403845928854
311.97,74.206,75.753,10.932,0.13316,0.11028,0.37512,0.2236,0.037134,0.034519,0.10876,0.05183,0.14318,1.2175815239643253
311.97,74.206,75.733,10.907,0.13315,0.11027,0.37563,0.22357,0.037182,0.034513,0.10873,0.051821,0.14313,1.2179881622239004
312.13,74.711,75.691,10.899,0.13314,0.11026,0.37579,0.22355,0.037208,0.034499,0.10871,0.051807,0.14313,1.2180992802325645
312.85,73.584,75.768,10.898,0.13313,0.11026,0.37599,0.22356,0.037209,0.034553,0.10871,0.051818,0.14313,1.2183584902981792
311.29,73.953,76.054,10.925,0.13317,0.11028,0.37596,0.22361,0.037103,0.034506,0.10876,0.051862,0.14313,1.2183758859157132
312.59,73.637,75.738,10.842,0.13311,0.11025,0.37673,0.2235,0.037306,0.034531,0.10864,0.051805,0.14303,1.2188947670435932
312.05,72.125,75.589,10.923,0.13313,0.11028,0.37641,0.22361,0.037153,0.034594,0.10877,0.051841,0.14316,1.2189519317042892
311.98,74.23,75.755,10.843,0.13312,0.11025,0.37695,0.2235,0.037294,0.034497,0.10864,0.051805,0.14302,1.2190797029003893
313.08,72.719,75.732,10.839,0.1331,0.11025,0.3773,0.2235,0.037315,0.034574,0.10864,0.05181,0.14303,1.2195171556556197
