Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1008.4,1.3042,182.13,1.0,0.078292,0.0782916537991598
1008.4,1.3042,182.13,1.0,0.078292,0.07829166754865097
1008.4,1.3042,182.13,1.0,0.078292,0.07829167678808964
1008.4,1.3042,182.13,1.0,0.078292,0.07829168901386262
1008.4,1.3042,182.13,1.0,0.078292,0.07829172507353298
1008.4,1.3042,182.13,1.0,0.078292,0.07829172784023436
1008.4,1.3042,182.13,1.0,0.078292,0.07829174170338607
1008.4,1.3042,182.13,1.0,0.078292,0.07829174634635012
1008.4,1.3042,182.13,1.0,0.078292,0.0782917487900303
1008.4,1.3042,182.13,1.0,0.078292,0.07829177945459596
