Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g56),Error (g262),Error (g80),Error (g126),Error (g237),Error (g223),Error (curve),Error (g51),Error (g72),Reduced Error
913.8,0.70899,211.24,1.3565,0.12782,0.12546,0.25384,0.17484,0.19261,0.20333,0.60958,0.19128,0.099909,1.9786674811803204
942.09,0.70893,205.4,1.3578,0.12779,0.12537,0.25377,0.17463,0.19251,0.20329,0.62364,0.19121,0.10018,1.9923933324112217
954.5,0.69811,203.76,1.3582,0.12778,0.12533,0.25376,0.17457,0.19247,0.20328,0.62982,0.19118,0.10027,1.9984552523737529
941.29,0.69932,205.13,1.3927,0.1274,0.12447,0.25384,0.17366,0.19175,0.20367,0.64198,0.19018,0.10045,2.0073875748341075
954.01,0.68849,205.14,1.3584,0.12777,0.12531,0.25378,0.17459,0.19248,0.2033,0.65488,0.19117,0.10022,2.0235034301757286
990.95,0.71119,188.79,1.3502,0.12786,0.12537,0.25364,0.17439,0.19247,0.20277,0.65521,0.19135,0.10084,2.0239071622012745
925.16,0.70113,206.73,1.359,0.12777,0.12534,0.25383,0.17467,0.1925,0.20332,0.66079,0.19117,0.10001,2.0294011457143046
953.43,0.70974,203.49,1.3282,0.1281,0.12607,0.25366,0.17532,0.19314,0.20277,0.66691,0.19207,0.1008,2.0388286284218906
938.58,0.68904,200.15,1.4442,0.12682,0.1232,0.25384,0.17214,0.19065,0.20382,0.68218,0.18877,0.10273,2.0441403527317434
938.83,0.68871,200.1,1.4437,0.12683,0.12322,0.25384,0.17216,0.19066,0.20382,0.6822,0.18878,0.1027,2.044187977070153
