Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1406.5,0.18548,125.27,5.2769,0.10366,0.047238,0.099437,0.22047,0.13586,0.031329,0.25429,0.11423,0.13456,1.1410709688756653
1410.6,0.18397,124.84,5.3193,0.098128,0.046583,0.099138,0.22728,0.13566,0.031167,0.25448,0.11428,0.13436,1.141075989753428
1406.2,0.18503,124.81,5.2678,0.1052,0.047423,0.099491,0.21868,0.13592,0.031339,0.25426,0.11422,0.13462,1.1411557442124063
1406.6,0.18524,125.27,5.2659,0.10532,0.047448,0.099522,0.21903,0.13593,0.031373,0.25424,0.11422,0.13463,1.141711658309593
1410.5,0.18393,124.8,5.32,0.098062,0.046574,0.099132,0.22824,0.13565,0.031163,0.25449,0.11428,0.13436,1.1419497864243422
1410.5,0.18541,124.8,5.2629,0.10601,0.047559,0.099513,0.22153,0.13593,0.031345,0.25424,0.11422,0.13465,1.1449896866699465
1410.5,0.18389,125.85,5.3131,0.098962,0.046643,0.099226,0.23319,0.13572,0.031251,0.25443,0.11426,0.13439,1.1480771555674636
1397.9,0.18532,125.78,5.2492,0.10647,0.047697,0.099684,0.22459,0.13607,0.031486,0.25414,0.1142,0.13474,1.1490768575233337
1406.7,0.18366,125.28,5.3354,0.097233,0.046285,0.099052,0.23741,0.1356,0.031148,0.25455,0.11429,0.13429,1.1498568452596576
1406.5,0.18426,125.27,5.2655,0.10581,0.04745,0.099538,0.22717,0.13597,0.031384,0.25423,0.11422,0.13465,1.1504220459009065
