Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1653.2,0.33417,199.89,1.5455,0.18785,0.12125,0.55509,0.16989,0.2551,0.18623,0.20001,0.10497,0.12577,1.90615521245634
1651.9,0.33581,199.89,1.5441,0.18788,0.12127,0.55656,0.16992,0.2551,0.18626,0.2001,0.10495,0.12579,1.9078325653080528
1651.5,0.33514,200.36,1.5428,0.18791,0.1213,0.56162,0.16997,0.2551,0.1863,0.20016,0.10481,0.12581,1.9129781443816536
1651.5,0.33512,200.37,1.5423,0.18792,0.12132,0.56284,0.16998,0.2551,0.18631,0.2002,0.1048,0.12581,1.9142751151283388
1649.0,0.33415,200.58,1.5416,0.18794,0.12133,0.56322,0.17001,0.25511,0.18632,0.20021,0.10474,0.12582,1.9146963339270056
1651.9,0.33479,200.33,1.5411,0.18794,0.12134,0.57021,0.17002,0.2551,0.18634,0.20028,0.10475,0.12583,1.9218192039253796
1649.3,0.32916,199.96,1.5416,0.18794,0.12133,0.57102,0.17004,0.25514,0.18632,0.20023,0.10474,0.12581,1.9225726539679937
1651.7,0.32834,200.98,1.5424,0.18793,0.12132,0.5726,0.17003,0.25514,0.1863,0.20014,0.10464,0.1258,1.9238926754955832
1636.1,0.33326,200.77,1.5426,0.18794,0.12131,0.57597,0.17001,0.25513,0.18629,0.20002,0.10477,0.12579,1.927227908808631
1635.3,0.33499,200.38,1.539,0.18801,0.12138,0.57827,0.1701,0.25512,0.18639,0.20029,0.10474,0.12584,1.9301387399158227
