Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1626.1,0.16908,128.08,2.7701,0.31461,0.099042,0.063652,0.15171,0.13948,0.23648,0.10255,0.16128,0.11294,1.3817314924761168
1648.5,0.16922,128.31,2.7373,0.32456,0.099751,0.06479,0.15197,0.14044,0.23617,0.10339,0.16182,0.11298,1.3958632088234657
1648.4,0.16805,128.21,2.8059,0.3349,0.098185,0.062438,0.1514,0.1385,0.23674,0.10204,0.1606,0.11281,1.3976173889138808
1671.9,0.16591,127.98,2.7834,0.33746,0.098685,0.063227,0.15161,0.13918,0.23651,0.10227,0.16097,0.11283,1.4027406657341785
1676.6,0.16596,128.31,2.7363,0.33642,0.099752,0.064852,0.152,0.1405,0.23612,0.10334,0.16179,0.11295,1.4077293321649482
1677.9,0.16527,126.64,2.8375,0.3508,0.097436,0.06134,0.15114,0.13761,0.23698,0.10128,0.16002,0.11269,1.4092954734619823
1673.6,0.16637,128.25,2.7217,0.33678,0.10008,0.065347,0.15212,0.1409,0.23601,0.10372,0.16206,0.11299,1.4100106467209137
1676.5,0.16599,128.37,2.7704,0.34468,0.098988,0.063692,0.15172,0.13956,0.23639,0.10249,0.16119,0.11285,1.4115787458718392
1625.9,0.17037,125.22,2.8863,0.35899,0.096403,0.059589,0.15067,0.13606,0.23749,0.10068,0.15941,0.11265,1.4119436551196394
1680.3,0.16492,128.23,2.7366,0.34305,0.099742,0.064844,0.152,0.14049,0.23612,0.10329,0.16178,0.11295,1.4142748352925951
