Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
2.3374,4.4738e-07,950.1,485.67,177.89,773.81,81.419,3.1851,0.37426,0.13611,0.042635,0.11776,0.11465,0.093881,0.059896,0.22856,0.079414,1.2471657994884102
3.5686,4.531e-07,979.43,485.66,176.04,773.89,81.376,3.1643,0.37626,0.13611,0.04238,0.11762,0.1149,0.09379,0.060984,0.22895,0.080037,1.2510274590219423
2.3373,4.3948e-07,950.1,485.69,177.82,773.77,81.004,3.1722,0.38242,0.13613,0.042586,0.11775,0.11467,0.093866,0.060146,0.22864,0.079603,1.255815108144708
2.0801,4.4737e-07,940.39,485.69,177.75,773.64,81.805,3.2205,0.38697,0.13609,0.042841,0.11786,0.11454,0.093858,0.058978,0.22829,0.078824,1.2582558407933977
3.7422,4.4474e-07,940.75,502.96,177.48,773.86,82.012,3.2427,0.39777,0.13597,0.042581,0.11773,0.11485,0.093698,0.059375,0.22801,0.079252,1.2692433884558687
2.421,4.4515e-07,939.76,485.73,186.67,773.61,81.625,3.2091,0.40748,0.13608,0.042739,0.11779,0.11448,0.093968,0.059103,0.22798,0.078858,1.2784820030311106
0.60289,4.5493e-07,944.29,503.02,174.5,751.39,82.495,2.9897,0.40409,0.13645,0.041889,0.11728,0.11469,0.094993,0.063596,0.22981,0.081684,1.2844833444999024
2.5461,4.5498e-07,849.63,483.51,189.64,773.85,81.797,3.2331,0.41921,0.13581,0.042982,0.11786,0.11443,0.093839,0.058026,0.22667,0.078845,1.2876681591347026
45.431,4.5547e-07,944.23,483.4,181.05,769.09,82.127,3.2359,0.41413,0.1357,0.042069,0.11726,0.11569,0.093323,0.061526,0.22741,0.080911,1.2880206819326354
0.18434,4.5551e-07,951.45,484.18,175.82,769.21,80.231,2.8905,0.40577,0.13664,0.041911,0.11733,0.11451,0.095036,0.064875,0.23055,0.082278,1.288909201898672
