time,timestep
0,0
267.81,10
365.02,13
598.99,18
835.2,23
1083.7,27
1259.7,30
1524.3,35
1845.1,40
2172.9,45
2490,50
2842,56
3249.7,61
3674.5,66
4343.2,74
4856.9,79
5357.8,84
6039,91
6632.6,97
7804,112
8574.9,123
9079.3,130
