time,mCS_cp_xx,mCS_cpvp_xx,mCS_vp_xx,mEE_cp_xx,mEE_cpvp_xx,mEE_vp_xx,mTE_cp_xx,mTE_cpvp_xx,mTE_vp_xx
0,0,0,0,0,0,0,0,0,0
267.81,384.98425664497,386.87500026402,389.71111533851,0.0018894942045414,0.001833574452883,0.0017496948358672,0.0019294337823092,0.0069137311944438,0.014390176379252
365.02,398.83847684855,401.74633592136,406.10812398604,0.0019651398799843,0.001904069551954,0.001812464071345,0.0020483023935998,0.0093963418754344,0.020418399722141
598.99,428.62590276871,434.20397793831,442.57108964813,0.0021200938466905,0.0020579217437878,0.0019646636010766,0.0023547564846655,0.01531495392771,0.03475524766526
835.2,455.75455939263,464.29931300603,477.11644182599,0.0022573809565388,0.0022005724776075,0.002115359769849,0.002709092009596,0.021210803257158,0.048963366663743
1083.7,481.91404755776,493.82752067588,511.69772812206,0.0023882083027976,0.0023405342794443,0.0022690232533421,0.0031373607031401,0.027331168200358,0.063621874915484
1259.7,499.20156854123,513.63470075494,535.28439637266,0.0024741324629786,0.0024344189730261,0.0023748487455343,0.0034766516736744,0.031617814110201,0.073829552495082
1524.3,523.4890201556,541.88977848074,569.49091252259,0.0025943022969282,0.0025683463377594,0.0025294124038668,0.004045227562566,0.037990058920106,0.088907299599672
1845.1,550.52386221813,573.97870331503,609.16096056805,0.0027274296280694,0.0027204466978385,0.0027099723037997,0.0048318087499635,0.045602377788035,0.10675822371016
2172.9,575.70281433267,604.54701293861,647.81330544597,0.0028509264764795,0.0028653399999682,0.0028869602825021,0.0057425448101644,0.053260216788539,0.12453671585761
2490,598.01401872305,632.24811407305,683.59925068713,0.0029600159514905,0.0029966430833423,0.0030515837742609,0.0067216514454347,0.060558891341573,0.14131474110385
2842,620.7138206317,661.09454246642,721.66561765654,0.003070728136057,0.0031333752569827,0.0032273459266395,0.0079142798786986,0.068541622254946,0.15948262446582
3249.7,644.6244625041,692.28075228794,763.76517803925,0.0031871031448182,0.0032812003900042,0.0034223462401618,0.0094292515647549,0.077631530264932,0.17993493554317
3674.5,667.18861892204,722.570743546,805.64392011068,0.0032967611841937,0.0034247787337272,0.003616805034054,0.011137504203406,0.086938655757577,0.20064036889379
4343.2,698.57948033198,766.34151249311,867.98454804522,0.0034491602997254,0.0036322596259241,0.0039069085809336,0.01404694636611,0.10127147112204,0.23210824192167
4856.9,719.66702279437,797.05341358473,913.13298527837,0.003551505545915,0.0037778404532512,0.0041173427718704,0.016426993190437,0.11203177087978,0.25543891951017
5357.8,738.1933609236,825.03711252664,955.30272366824,0.0036414510141293,0.0039104894763206,0.0043140471192257,0.018840801597876,0.12232611294007,0.27755406057399
6039,760.51303990729,860.28176214403,1009.9348268158,0.0037498991833825,0.0040775577324367,0.0045690454946584,0.022230717335269,0.13602524856726,0.30671702410529
6632.6,777.59443549928,888.65869207743,1055.255056146,0.0038329889079463,0.0042120710408349,0.0047806941691782,0.025249004958713,0.14769400167264,0.33136147381363
7804,805.87882769349,939.26144247357,1139.3353396655,0.0039708078725891,0.0044519373878705,0.005173631570693,0.031263964124829,0.17002569730251,0.37816827108354
8574.9,821.01758920091,969.04538140447,1191.0870419891,0.004044713157237,0.0045931179017627,0.0054157249158531,0.035191649961825,0.18423424041277,0.40779809817845
9079.3,829.66981754982,987.25850487015,1223.6415063395,0.0040870070513762,0.0046794508289417,0.0055681163843449,0.037722530591082,0.19332758561179,0.42673513900318
