Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g86),Error (g59),Error (curve),Error (g303),Error (g237),Reduced Error
1137.6,7.1188e-05,385.61,1.0052,0.17202,0.10123,0.089757,2.0998,0.1089,0.17478,2.746522639311372
1158.6,7.071e-05,385.63,1.0133,0.17201,0.10117,0.089434,2.2,0.10855,0.17448,2.8456148890989588
863.58,0.0022078,378.9,1.0082,0.16694,0.095395,0.094633,2.3703,0.1048,0.17324,3.0053355434450495
1148.9,1.2279e-05,381.07,1.0408,0.17343,0.10282,0.08898,2.367,0.11114,0.17569,3.0190488305093175
824.18,0.00078245,379.09,1.0803,0.16467,0.091712,0.094492,2.4235,0.10378,0.17114,3.0492638770728666
825.85,0.0025233,380.6,1.0227,0.166,0.094224,0.095207,2.4356,0.10425,0.17277,3.0680053955582864
816.33,0.00060017,379.08,1.0973,0.1642,0.090919,0.094396,2.4457,0.10354,0.17061,3.069348236045524
829.58,0.00075867,379.08,1.1069,0.16387,0.090582,0.094044,2.464,0.10278,0.17012,3.085397163909704
862.65,0.0024908,380.6,1.0284,0.16623,0.094387,0.094414,2.4543,0.10381,0.17239,3.085536476133864
946.08,6.8105e-05,378.65,1.0353,0.16948,0.097562,0.092203,2.4461,0.10896,0.17437,3.088631563910075
