Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
242.87,126.32,59.557,14.975,2.2476e-05,0.27213,0.04121,0.031638,0.027523,0.30688,0.021493,0.1168115104366822
243.78,126.41,59.532,14.974,2.2471e-05,0.27218,0.041195,0.031646,0.027519,0.30843,0.021493,0.11707719842127977
242.25,127.13,59.382,14.964,2.2549e-05,0.27215,0.041225,0.031639,0.027533,0.3085,0.021495,0.11708900736103804
244.17,130.78,59.486,15.033,2.313e-05,0.27226,0.041267,0.03164,0.027537,0.30885,0.021527,0.11718072930295047
242.56,135.24,59.351,14.976,2.2456e-05,0.27219,0.041328,0.031632,0.027552,0.31051,0.02153,0.11745665443083714
242.94,129.45,59.749,14.964,2.4672e-05,0.27217,0.041254,0.031633,0.027569,0.31365,0.021503,0.11796386225197629
237.57,131.12,59.402,14.966,2.2058e-05,0.2719,0.041357,0.031595,0.027558,0.31496,0.021514,0.11814875158342146
245.74,125.87,59.328,15.115,2.169e-05,0.27232,0.041197,0.031653,0.027483,0.31994,0.021527,0.11901900043438396
237.35,126.95,62.98,14.719,3.2322e-05,0.2713,0.041281,0.031525,0.027686,0.32358,0.021408,0.11946284240609002
243.85,130.78,58.71,14.914,2.2217e-05,0.27238,0.041218,0.031673,0.027545,0.32745,0.021499,0.120293624960388
