Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1852.5,0.13458,129.0,10.134,0.18825,0.089047,0.065976,0.065572,0.12775,0.055452,0.5920483103401799
1847.5,0.13423,129.17,10.101,0.18861,0.089108,0.065901,0.065611,0.12769,0.055439,0.5923571052602876
1888.8,0.13502,127.38,10.046,0.1961,0.089247,0.065826,0.065535,0.12787,0.055456,0.6000351814884001
1827.1,0.13423,129.17,10.101,0.19654,0.089011,0.065988,0.065655,0.12766,0.055411,0.6002637683133123
1809.4,0.134,130.31,10.206,0.20011,0.088812,0.066159,0.065618,0.12764,0.05543,0.603775730680418
1852.3,0.13427,129.04,9.8937,0.20262,0.089522,0.065498,0.065692,0.12758,0.055396,0.6063132554606756
1892.9,0.13432,128.0,9.9804,0.20281,0.089445,0.065619,0.065563,0.12777,0.05545,0.606651255729542
1842.5,0.13328,130.6,10.197,0.20508,0.089012,0.065961,0.065563,0.12763,0.055472,0.6087139847169721
1846.3,0.13318,130.12,10.296,0.20532,0.088825,0.066164,0.06548,0.12775,0.05549,0.6090306189555357
1885.8,0.13575,127.61,10.004,0.21142,0.089333,0.065744,0.065543,0.12785,0.055452,0.615347581079771
