Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1499.7,0.22134,138.59,6.3474,0.17334,0.12925,0.31804,0.52736,0.25951,0.10246,0.11722,0.11959,0.13023,1.8770092660202173
1494.6,0.21743,140.08,6.4584,0.17317,0.12933,0.30909,0.53841,0.26029,0.10266,0.11735,0.11937,0.13029,1.8799568158422955
1492.7,0.22462,136.01,6.4073,0.17359,0.12913,0.32704,0.52499,0.25953,0.10263,0.11725,0.11936,0.13049,1.8840090894886756
1496.0,0.22029,140.44,6.4297,0.17323,0.12927,0.31426,0.54635,0.26001,0.10263,0.11732,0.11942,0.13027,1.892748708653135
1500.2,0.21941,136.24,6.672,0.17357,0.12904,0.32984,0.53022,0.26073,0.10305,0.11745,0.11882,0.13081,1.8935362808856753
1497.1,0.2161,141.69,6.3621,0.173,0.12944,0.3177,0.54732,0.26004,0.10245,0.1173,0.11964,0.13005,1.8969538625273181
1620.2,0.21705,141.55,6.4087,0.17347,0.12856,0.30203,0.57274,0.25866,0.10224,0.117,0.11985,0.12993,1.904487333498745
1635.5,0.21329,143.56,6.5172,0.17335,0.12855,0.2949,0.57999,0.25919,0.10235,0.11707,0.11972,0.12994,1.9050599788467881
1486.9,0.22022,136.16,6.4424,0.17344,0.12926,0.31941,0.55861,0.25999,0.10267,0.11731,0.11931,0.13049,1.9104801839139105
1621.0,0.21639,142.61,6.5007,0.17344,0.12856,0.3018,0.57953,0.25907,0.10239,0.11707,0.11968,0.13002,1.9115632063665071
