Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1936.0,0.12201,127.32,8.8924,0.065755,0.08927,0.12833,0.066124,0.19752,0.055119,0.6021140543910791
1935.6,0.12302,126.61,9.0046,0.066053,0.088982,0.12843,0.066046,0.19987,0.055105,0.6044869970178128
1930.1,0.12297,126.64,9.0006,0.066054,0.088975,0.1284,0.06606,0.20011,0.055094,0.604699150024438
1925.7,0.12395,126.66,8.8967,0.065884,0.089127,0.12836,0.066114,0.20057,0.055084,0.6051436985651419
1930.7,0.12246,126.86,9.0265,0.066078,0.088957,0.1284,0.066049,0.20172,0.055098,0.606307965131736
1928.1,0.12211,128.05,9.365,0.066625,0.088489,0.12857,0.065819,0.20552,0.055126,0.6101504900591463
1924.2,0.12276,127.99,9.3654,0.066672,0.088439,0.12858,0.065819,0.20576,0.055114,0.6103814935912817
1968.2,0.12066,126.78,9.2197,0.06623,0.088874,0.12859,0.065872,0.20631,0.055195,0.6110676960431959
1985.0,0.11975,126.85,8.9568,0.06563,0.089461,0.12851,0.06602,0.20687,0.055227,0.611712363079369
1927.3,0.12268,128.42,9.2177,0.066402,0.088689,0.1285,0.065907,0.20763,0.055123,0.6122562511923255
