Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1781.3,0.14321,121.87,10.871,0.067776,0.12909,0.19145,0.08721,0.064958,0.055571,0.5960513578851229
1781.3,0.14314,121.87,10.887,0.067791,0.12909,0.19163,0.087197,0.06495,0.055574,0.5962333536184578
1782.8,0.14297,122.41,10.908,0.067804,0.12907,0.19175,0.087181,0.064938,0.055574,0.5963177567350973
1776.6,0.14411,121.15,10.81,0.067728,0.12911,0.19368,0.087259,0.064984,0.055563,0.5983178170106549
1747.3,0.14565,121.9,10.75,0.067666,0.12903,0.19488,0.087305,0.065019,0.055552,0.5994551522127359
1745.3,0.14619,121.24,10.848,0.067783,0.1291,0.19821,0.087209,0.064948,0.055576,0.6028326296424543
1747.6,0.14424,122.49,10.915,0.067825,0.12904,0.19833,0.087159,0.064928,0.055583,0.6028603827087612
1695.6,0.14818,123.5,10.371,0.067236,0.1288,0.19957,0.087676,0.065263,0.055486,0.6040257796284625
1782.1,0.14423,122.29,10.87,0.067775,0.12908,0.20045,0.087208,0.064948,0.055567,0.6050316866668568
1794.5,0.14263,120.36,10.871,0.067798,0.12917,0.20111,0.087204,0.064946,0.055578,0.6058018159410217
