Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
213.62,2.2875,132.86,4.7097,5.1997e-05,0.12104,0.0554,0.10304,0.054209,0.072741,0.83009,1.2365175884052637
214.36,2.3096,133.79,4.7305,5.1963e-05,0.12097,0.055436,0.1029,0.054213,0.072709,0.84003,1.246259533725581
214.26,2.2868,133.28,4.9256,5.2122e-05,0.12011,0.055904,0.10143,0.054019,0.072508,0.85087,1.2548400126659252
216.43,2.2866,133.15,4.8919,5.3036e-05,0.12042,0.05583,0.10173,0.054077,0.072456,0.85037,1.2548804026921783
213.17,2.2365,135.07,4.9226,5.1847e-05,0.12004,0.05591,0.10142,0.053992,0.072524,0.85484,1.2587292104326715
209.4,2.2703,134.32,4.7626,5.2374e-05,0.12065,0.055498,0.10274,0.054122,0.072789,0.85448,1.2602801917121687
215.28,2.3629,135.89,4.7603,5.3963e-05,0.12103,0.055449,0.10296,0.054267,0.072634,0.85697,1.2633132263736335
209.61,2.2842,138.55,4.7647,5.2626e-05,0.12068,0.055472,0.10284,0.054173,0.072761,0.85854,1.2644722098288783
212.7,2.2953,129.84,4.8969,5.2466e-05,0.12019,0.05584,0.10165,0.054004,0.072594,0.86105,1.2653315084857697
220.42,2.3041,132.3,5.0744,5.4064e-05,0.11994,0.05626,0.10053,0.053989,0.072155,0.86962,1.2724991545452065
