Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
125.21,2.9102e-05,471.0,1.7393,0.10469,0.10468876926154533
125.21,2.9102e-05,471.0,1.7393,0.10469,0.10468877089724017
125.21,2.9102e-05,471.0,1.7393,0.10469,0.10468877119969658
125.21,2.9102e-05,471.0,1.7393,0.10469,0.10468878016101299
125.21,2.9102e-05,471.0,1.7393,0.10469,0.1046887823768601
125.21,2.9102e-05,471.0,1.7393,0.10469,0.10468878261448711
125.21,2.9102e-05,471.0,1.7393,0.10469,0.1046887831867411
125.21,2.9102e-05,471.0,1.7393,0.10469,0.10468878330262489
125.21,2.9102e-05,471.0,1.7393,0.10469,0.10468878618057065
125.21,2.9102e-05,471.0,1.7393,0.10469,0.10468878665565064
