Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1609.1,0.21296,141.19,6.8485,0.17402,0.12937,0.23121,0.64125,0.26033,0.10279,0.11723,0.11836,0.13107,1.905628534635665
1618.4,0.20631,144.31,6.9427,0.17375,0.12967,0.21083,0.66413,0.26088,0.10277,0.11731,0.11836,0.13083,1.9085359392747019
1619.4,0.2063,144.23,6.8885,0.17373,0.12961,0.22153,0.65788,0.26072,0.10271,0.11728,0.11847,0.13078,1.9126920877816407
1622.8,0.2139,140.83,6.9384,0.17418,0.12924,0.21587,0.66761,0.26032,0.10295,0.11724,0.11821,0.13118,1.9167948889750326
1618.0,0.20618,144.83,6.9214,0.17371,0.12967,0.21497,0.67028,0.26085,0.10274,0.1173,0.11841,0.13078,1.9187119753505988
1609.4,0.21208,138.53,6.9033,0.17415,0.12943,0.23225,0.65813,0.26045,0.10287,0.11724,0.1182,0.13127,1.923989440083876
1596.8,0.2082,143.74,6.8682,0.17372,0.1298,0.24361,0.65147,0.26086,0.10268,0.11731,0.1184,0.13087,1.928702918043361
1617.9,0.21641,139.07,6.7162,0.1742,0.12895,0.25124,0.65266,0.25964,0.10273,0.11711,0.11856,0.1311,1.93618068970202
1588.3,0.20743,143.97,6.8834,0.17366,0.12996,0.24751,0.65911,0.26105,0.10267,0.11734,0.11835,0.13087,1.9405201688926135
1610.8,0.21414,139.37,7.0475,0.17428,0.12947,0.26967,0.63669,0.26072,0.10309,0.11731,0.11792,0.13142,1.9405654915638595
