Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
13.86,718.62,0.57961,664.72,667.24,813.92,40.086,2.5656,0.12633,1.2565,0.050378,0.14947,0.22423,0.18058,0.10717,0.046602,0.047404,2.1886745128368026
47.651,673.24,6.2972,664.62,624.49,750.12,0.10798,2.7621,0.11551,0.77994,0.047449,0.15241,0.23741,0.58442,0.12359,0.08702,0.068442,2.1961837608245025
47.615,672.52,6.3309,664.62,622.89,752.64,0.10772,2.7586,0.11546,0.79195,0.047385,0.15235,0.23743,0.58755,0.12366,0.087153,0.068517,2.2114584254172467
48.735,673.24,6.0177,664.62,623.53,749.39,0.10346,2.6636,0.11554,0.79679,0.047363,0.15253,0.23753,0.60113,0.12373,0.087549,0.068665,2.230830148096092
49.348,673.24,6.3093,664.62,623.66,750.12,0.1093,2.7673,0.1156,0.81569,0.047513,0.15251,0.23736,0.58533,0.12342,0.086813,0.068227,2.2324736774210288
14.324,713.08,0.55757,664.72,667.32,816.08,39.604,2.552,0.12643,1.255,0.050225,0.14958,0.22431,0.23099,0.10707,0.046786,0.047667,2.238039918276093
47.603,672.49,6.2747,664.62,675.61,749.58,0.10428,2.9484,0.11523,0.8191,0.047615,0.15219,0.23749,0.59294,0.124,0.087547,0.068852,2.24496664074984
49.15,673.24,6.456,664.63,624.58,750.64,0.10561,2.8084,0.11506,0.80188,0.047235,0.15192,0.23755,0.61125,0.12426,0.087991,0.069154,2.2462995519251456
13.673,717.78,0.56686,664.72,667.19,813.92,39.776,2.5429,0.12644,1.2532,0.050512,0.14968,0.22425,0.24311,0.10712,0.046589,0.04741,2.2483572205971796
51.662,673.24,5.5693,664.61,651.51,749.7,0.11878,2.7325,0.11756,0.9111,0.048837,0.15488,0.23678,0.5151,0.12079,0.082944,0.0654,2.2533945837384177
