Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
807.21,0.54697,160.21,2.9479,0.15274,0.32839,0.24884,0.094206,0.17951,0.17868,0.0717,0.15645,0.10204,1.5125713817778985
816.34,0.54206,163.79,2.8759,0.15363,0.32568,0.24872,0.094082,0.18032,0.17839,0.072212,0.15731,0.10251,1.5128459870910735
817.57,0.53534,164.78,2.8844,0.15349,0.33047,0.24883,0.094099,0.18029,0.17844,0.072147,0.1572,0.10246,1.5174105247587084
785.33,0.55861,165.73,2.8469,0.15394,0.3344,0.24888,0.094,0.18085,0.17826,0.072455,0.15769,0.10272,1.5231900478046994
813.71,0.54086,163.74,2.8496,0.15394,0.33524,0.24867,0.094027,0.18059,0.17828,0.0724,0.15761,0.10267,1.5234236542350663
816.15,0.5289,165.34,2.8684,0.15365,0.3391,0.24886,0.09408,0.1805,0.17839,0.072252,0.15737,0.10255,1.5267502208185084
817.95,0.54334,163.69,2.8457,0.15403,0.33943,0.24859,0.094001,0.18057,0.17825,0.072435,0.15767,0.1027,1.5276761966690606
750.89,0.66448,164.85,2.6919,0.15641,0.33242,0.24788,0.093701,0.18229,0.17739,0.073886,0.1599,0.1039,1.5277732241093265
833.06,0.52709,162.62,2.8965,0.15336,0.35277,0.24869,0.094134,0.17999,0.17849,0.072039,0.15702,0.10235,1.5388552333277556
816.66,0.54469,157.93,2.8958,0.15341,0.35408,0.24853,0.094129,0.17988,0.17844,0.072033,0.15701,0.10232,1.5398327536529033
