Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
8.2777,5.1147,261.39,19.754,0.12942,0.11079,0.063351,0.1583,1.1993,0.19216,0.072282,0.14195,0.095997,2.1635344370201945
8.5439,5.185,271.93,19.749,0.12947,0.11086,0.063382,0.15816,1.2016,0.19199,0.072254,0.14133,0.095949,2.1650395889128697
8.1332,4.812,271.26,19.745,0.12936,0.11068,0.063433,0.1583,1.2274,0.19218,0.072385,0.14214,0.096075,2.191996204004089
8.0352,5.174,269.32,19.836,0.12938,0.11062,0.063417,0.15834,1.2276,0.19221,0.072425,0.1423,0.09591,2.1922250426928596
7.9312,5.1142,259.73,19.715,0.12939,0.11075,0.063307,0.1584,1.2313,0.1924,0.072307,0.14237,0.096064,2.1963007896189084
7.8857,4.8119,269.4,19.558,0.12937,0.11083,0.063308,0.15836,1.2582,0.19245,0.072271,0.14226,0.096265,2.223344689897603
8.3136,4.5499,270.07,19.929,0.12927,0.11044,0.063638,0.15835,1.2755,0.19199,0.072579,0.14268,0.095928,2.240378360771931
7.8349,5.0004,266.82,19.443,0.12944,0.11097,0.063226,0.15838,1.2764,0.19258,0.072162,0.14232,0.096319,2.241792350441045
8.2881,5.0184,262.68,19.518,0.12947,0.11105,0.06323,0.15825,1.3041,0.19227,0.072089,0.14153,0.09624,2.2682455216643893
8.3484,5.1474,373.67,19.528,0.12946,0.11074,0.063792,0.15792,1.3081,0.1921,0.072599,0.14191,0.095814,2.2724463952735046
