Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1312.7,0.19464,128.87,4.8297,0.05617,0.13289,0.1674,0.10264,0.069764,0.054765,0.5836230613243784
1293.7,0.19921,126.18,4.8731,0.056285,0.13279,0.17357,0.10226,0.069659,0.05471,0.5892824591844583
1308.8,0.19462,129.05,4.8604,0.056274,0.13271,0.17402,0.1023,0.069747,0.054701,0.5897516208770744
1296.4,0.19598,128.33,4.9286,0.056498,0.13239,0.17742,0.1016,0.069691,0.054577,0.5921828764810464
1315.3,0.19465,128.84,4.8571,0.056262,0.1328,0.17922,0.10236,0.069726,0.054728,0.5951022348897503
1320.0,0.19814,128.76,4.583,0.05542,0.1341,0.17754,0.1053,0.07003,0.055219,0.5976107286119143
1303.4,0.20014,128.31,4.5852,0.055419,0.13399,0.17798,0.10524,0.070032,0.055183,0.5978531725654761
1299.5,0.19476,130.38,4.8068,0.056107,0.13276,0.18316,0.10276,0.069857,0.054738,0.599380768877142
1378.4,0.18183,127.34,4.8755,0.056317,0.13316,0.18451,0.1024,0.069663,0.054818,0.6008658666278186
1305.1,0.20078,128.91,4.5838,0.055418,0.13399,0.18342,0.10525,0.070041,0.055183,0.6032936199315703
