Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
777.38,27.64,15.082,1.4116,0.16859,0.1385,0.24994,0.27762,0.15567,0.099386,0.1359,0.12234,0.059754,1.4077136908081647
780.69,27.315,15.05,1.3902,0.16915,0.13945,0.24998,0.2724,0.15603,0.099485,0.13891,0.12247,0.060219,1.4080846709098567
780.9,27.315,15.06,1.3926,0.16908,0.13934,0.24999,0.27421,0.15599,0.099452,0.13839,0.12246,0.060161,1.409079439984427
808.88,27.289,14.705,1.4017,0.16917,0.14032,0.25011,0.28029,0.1563,0.099309,0.13193,0.12224,0.060951,1.4106295850301094
763.73,27.57,15.122,1.408,0.16856,0.13801,0.24993,0.27896,0.15555,0.099377,0.13844,0.12248,0.059357,1.4106561948680392
771.21,27.111,14.958,1.3811,0.16931,0.13942,0.25002,0.27423,0.15608,0.099452,0.14139,0.12263,0.060073,1.4126072904534936
843.22,27.284,14.788,1.4115,0.1692,0.14112,0.25018,0.28707,0.15645,0.099208,0.12608,0.12195,0.061682,1.4129401385515503
807.86,27.095,14.967,1.3792,0.16965,0.14099,0.25007,0.27626,0.15651,0.09953,0.13698,0.12234,0.061253,1.4135861082961771
835.75,27.687,14.677,1.3914,0.1697,0.14201,0.25003,0.28045,0.1569,0.099746,0.13162,0.12198,0.062255,1.4146812906176707
789.93,27.593,15.107,1.4147,0.1686,0.13884,0.24998,0.28663,0.15573,0.099334,0.13357,0.12225,0.060033,1.4149761512220942
