Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
603.33,19.944,0.00010743,1.0018,0.20524,0.24538,0.13476,0.20702,2.2909,0.11365,3.1969655640973813
607.43,19.946,0.00011557,1.0029,0.20482,0.24498,0.13472,0.20694,2.2936,0.11357,3.198638448082582
595.13,19.908,0.00011126,1.0017,0.20497,0.24498,0.13486,0.20711,2.2981,0.11371,3.2036896285309404
609.78,19.824,9.629e-05,1.0018,0.2057,0.24603,0.13462,0.20696,2.3027,0.11363,3.209653248250229
613.46,19.843,7.7491e-05,1.0025,0.20693,0.24748,0.13451,0.20696,2.3051,0.11367,3.21461781481137
606.17,19.841,0.0001033,1.0122,0.20508,0.24532,0.1346,0.20688,2.3119,0.11356,3.2173528585183533
612.44,19.839,7.6039e-05,1.0046,0.20698,0.24753,0.1345,0.20695,2.3082,0.11367,3.217860522523629
550.82,19.999,8.535e-05,1.0048,0.20637,0.24588,0.13535,0.20773,2.3123,0.1142,3.2217933450248912
611.9,19.773,7.5795e-05,1.0046,0.2069,0.24745,0.13449,0.20696,2.316,0.11368,3.225443984578032
613.91,19.833,7.5855e-05,1.0126,0.20679,0.24738,0.13442,0.20685,2.3171,0.1136,3.2261457425092273
