Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g190),Error (g237),Error (g60),Error (g79),Error (curve),Error (g215),Error (g278),Error (g189),Error (g178),Reduced Error
780.74,2.4144,225.58,19.986,0.20724,0.15565,0.10613,0.081022,1.6612,0.059855,0.10019,0.23074,0.059149,2.6611389479183076
779.07,2.4154,225.07,19.986,0.20732,0.15568,0.10608,0.081039,1.671,0.059979,0.1002,0.23077,0.059204,2.6712544638045355
836.09,2.4334,224.35,19.986,0.2058,0.15634,0.10568,0.080418,1.6985,0.05921,0.099918,0.23079,0.059104,2.6957191731157
781.73,2.4253,223.67,19.985,0.2072,0.15592,0.10591,0.080915,1.6986,0.060089,0.10017,0.23085,0.059314,2.6989677496204516
779.22,2.4284,227.9,19.992,0.20655,0.15574,0.10639,0.080713,1.7028,0.059097,0.10011,0.23056,0.058861,2.700805007944002
834.57,2.4418,223.33,19.986,0.20575,0.15652,0.10557,0.080327,1.7158,0.05931,0.099906,0.23085,0.05919,2.7131986607714906
832.99,2.4366,223.26,19.963,0.2059,0.15645,0.10559,0.08039,1.7158,0.059397,0.099923,0.23085,0.059204,2.7134857338695357
854.63,2.4279,224.23,19.965,0.20556,0.1564,0.10557,0.080368,1.729,0.059115,0.099857,0.2308,0.059084,2.725751837001099
853.98,2.4241,224.85,19.984,0.20561,0.15629,0.10563,0.080441,1.7295,0.059077,0.099872,0.23078,0.059042,2.726254094987468
836.26,2.4516,224.91,19.986,0.20525,0.15659,0.10574,0.080109,1.7326,0.058756,0.09985,0.23073,0.058999,2.7286629618368505
