Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
233.24,195.88,62.806,8.2359,0.029048,0.088393,0.024145,0.37332,0.26298,0.11552,0.13957,0.12597,0.12281,1.281749312948864
233.35,195.33,62.833,8.2419,0.029052,0.088352,0.02413,0.37022,0.26299,0.11552,0.14329,0.12593,0.12279,1.2822812285992122
233.33,195.24,62.835,8.2425,0.029053,0.088348,0.024128,0.37037,0.26299,0.11552,0.14417,0.12593,0.12279,1.283303898259299
233.19,195.13,62.848,8.2404,0.029057,0.088351,0.024129,0.37126,0.26299,0.11552,0.14355,0.12594,0.1228,1.2835900355149488
233.55,195.27,62.766,8.2422,0.029049,0.088352,0.024149,0.37316,0.26299,0.11552,0.14434,0.12593,0.12278,1.2862783093987753
233.25,195.27,62.788,8.2422,0.029051,0.088361,0.024133,0.375,0.26299,0.11552,0.14312,0.12595,0.1228,1.2869173581626692
233.2,195.38,62.805,8.2509,0.029044,0.08835,0.024095,0.37306,0.26301,0.11553,0.14776,0.12594,0.12279,1.2895616470892832
235.04,198.32,63.171,8.252,0.029013,0.088323,0.024065,0.37245,0.26303,0.1155,0.15123,0.12583,0.1227,1.2921388877450712
241.16,195.03,62.166,8.1795,0.029045,0.088247,0.024814,0.37217,0.26289,0.11541,0.16034,0.12572,0.12258,1.3012021579259656
233.18,193.64,62.797,8.2436,0.029077,0.088304,0.024148,0.3777,0.26299,0.11552,0.16254,0.12591,0.12279,1.3089851616611157
