Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g190),Error (g60),Error (g278),Error (g79),Error (g237),Error (g189),Error (g178),Error (g215),Reduced Error
320.08,0.05238,13.275,3.2371,0.62788,0.21896,0.13196,0.099416,0.068777,0.13558,0.22526,0.029632,0.080776,1.618246601368308
316.86,0.05257,13.127,3.1788,0.64846,0.21828,0.13159,0.099367,0.068708,0.13609,0.22526,0.029663,0.079975,1.6373825827151873
315.36,0.053613,12.364,3.2264,0.67997,0.22041,0.13219,0.099628,0.068757,0.13535,0.22569,0.029635,0.081329,1.6729599074187127
298.57,0.052464,10.651,3.1111,0.74889,0.22024,0.13177,0.099788,0.06885,0.13623,0.22607,0.029866,0.080798,1.7425176762138106
286.54,0.075815,13.183,3.0025,0.77487,0.22054,0.12963,0.099438,0.067288,0.13801,0.22629,0.029463,0.075917,1.7614434866539628
316.65,0.050534,12.566,2.5779,0.82547,0.20993,0.12824,0.098818,0.068511,0.14045,0.22548,0.030738,0.07231,1.7999439047361703
341.96,0.056937,22.852,3.7138,0.84176,0.21616,0.1316,0.09846,0.068642,0.13526,0.22338,0.029376,0.080045,1.824678765266007
310.12,0.052545,10.773,3.2118,0.8459,0.22217,0.13272,0.1,0.068967,0.13494,0.2264,0.029816,0.082696,1.8436170317657194
293.61,0.05368,10.743,3.3254,0.88723,0.2228,0.13259,0.10001,0.069001,0.13519,0.22627,0.029927,0.083089,1.8860984429734027
313.48,0.053123,10.511,2.0703,0.92395,0.20619,0.12587,0.09894,0.068249,0.14342,0.22686,0.032404,0.06688,1.8927681299834234
