Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
2551.9,2.6274,420.61,3.0903,0.12802,0.070191,0.10658,0.1637,0.35392,0.13646,2.0047,0.1646,0.063165,3.1913593712052726
2453.4,2.5458,417.99,3.1245,0.12771,0.070042,0.10667,0.16371,0.30787,0.13632,2.0632,0.16363,0.063038,3.2021811305740444
2552.8,2.6111,421.23,3.0894,0.12809,0.070229,0.10672,0.16357,0.40245,0.13643,2.0167,0.16378,0.063088,3.251011405537214
2556.9,2.6688,420.18,3.0931,0.12789,0.070138,0.10639,0.16391,0.28795,0.13649,2.1472,0.16578,0.063277,3.269049510626263
2529.3,2.5525,415.26,3.09,0.12835,0.06999,0.10621,0.16386,0.25829,0.13644,2.2094,0.16656,0.063451,3.302520119317394
2551.4,2.6988,420.0,3.0826,0.12783,0.070193,0.10624,0.16411,0.27074,0.13653,2.2054,0.16677,0.063347,3.3111568840672825
2519.9,2.7002,421.3,3.097,0.1276,0.070263,0.10644,0.16404,0.279,0.13653,2.2197,0.16555,0.063146,3.332280086097467
2572.8,2.6381,423.46,3.1167,0.12781,0.069996,0.10692,0.16338,0.4289,0.13627,2.0889,0.16246,0.063038,3.347643041046279
2554.1,2.6357,422.49,3.0897,0.12796,0.070277,0.10678,0.16358,0.41828,0.13644,2.1039,0.16354,0.063034,3.3538143921389123
2553.2,2.7336,421.65,3.0961,0.1276,0.070144,0.10636,0.16407,0.2776,0.13648,2.2564,0.16603,0.063267,3.367989131430032
