Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.040486,2.1068e-07,818.15,437.6,181.05,866.87,82.269,3.3401,0.20818,0.13593,0.044607,0.11799,0.11476,0.093616,0.054121,0.22637,0.076919,1.0725014003896718
0.040486,2.1068e-07,818.15,463.6,181.05,831.82,82.269,3.3401,0.21615,0.13593,0.044212,0.11789,0.11471,0.09381,0.054565,0.2264,0.077168,1.080835607874898
0.023149,4.4119e-07,818.18,464.46,180.11,822.09,82.304,3.3164,0.21811,0.13618,0.044493,0.1181,0.11423,0.093847,0.05419,0.22654,0.076708,1.0823890155111742
0.022434,4.4285e-07,818.9,472.86,180.28,821.37,82.446,3.3164,0.21887,0.13611,0.044349,0.11799,0.11437,0.093801,0.054473,0.22655,0.07698,1.0835028523892736
0.022764,4.4666e-07,791.24,464.41,180.06,822.17,80.487,3.3138,0.22068,0.13641,0.044844,0.11848,0.11365,0.093943,0.053323,0.22641,0.075962,1.0837125144398552
0.022433,4.4299e-07,818.94,475.22,180.32,816.06,82.583,3.3143,0.22146,0.13611,0.044303,0.11799,0.11434,0.09386,0.054537,0.22656,0.077003,1.0861655256070721
0.022832,4.4138e-07,809.96,476.07,184.34,841.21,82.592,3.3117,0.22131,0.13592,0.044228,0.11786,0.11463,0.093625,0.054853,0.22649,0.077457,1.0863774503070598
0.022568,4.4276e-07,813.36,474.02,180.33,821.37,82.444,3.25,0.22079,0.13601,0.04403,0.11778,0.11452,0.09376,0.05565,0.22673,0.077959,1.0872249660342674
0.022611,4.4286e-07,815.23,473.96,180.25,822.71,82.61,3.2481,0.22161,0.13599,0.043996,0.11774,0.11458,0.093747,0.055766,0.22675,0.078065,1.0882385510444985
0.022563,4.4264e-07,814.56,474.01,180.28,816.74,82.411,3.2488,0.22206,0.13603,0.044026,0.11779,0.11448,0.093801,0.055638,0.22673,0.077917,1.0884792577252635
