Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1946.5,0.13053,126.19,4.6632,0.069334,0.05543,0.10412,0.055928,0.16047,0.13434,0.5796295777523797
1947.7,0.1308,126.05,4.6573,0.069334,0.05544,0.10417,0.055909,0.16269,0.13439,0.5819285467340266
1952.5,0.13056,125.38,4.6544,0.069331,0.055441,0.10418,0.055898,0.16284,0.13444,0.5821286152801486
1945.2,0.12898,126.62,4.8444,0.069217,0.055181,0.10259,0.056581,0.16943,0.13357,0.5865696369641141
1952.9,0.1309,124.4,4.6575,0.069316,0.055428,0.10411,0.055911,0.17055,0.1345,0.5898134416637663
1953.0,0.12985,124.79,4.6558,0.069333,0.055431,0.10416,0.055897,0.17127,0.13445,0.5905429774884351
1956.7,0.13163,125.14,4.5921,0.069366,0.055546,0.10471,0.055686,0.17233,0.13476,0.5923940533576109
1953.8,0.13016,124.17,4.6667,0.069315,0.05541,0.10404,0.055939,0.17777,0.13445,0.596923859254535
1978.4,0.13051,124.79,4.6447,0.069315,0.055478,0.10426,0.055866,0.18204,0.13459,0.6015501203068668
1955.4,0.12364,126.49,6.4854,0.068233,0.054715,0.093728,0.061532,0.19675,0.1301,0.6050538905848052
