Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1979.9,0.12613,127.6,5.9598,0.06827,0.054577,0.095957,0.059976,0.15027,0.13102,0.5600681223630511
1982.1,0.12612,127.4,5.9594,0.068265,0.054575,0.095943,0.059985,0.15029,0.13103,0.5600926693275339
1979.0,0.12615,127.6,6.0183,0.068236,0.05458,0.095692,0.060132,0.15105,0.13091,0.5605990316969753
1969.1,0.12716,127.54,5.9464,0.068269,0.054576,0.096005,0.059953,0.15196,0.13106,0.5618247447175098
1987.9,0.12522,128.15,6.0311,0.068245,0.054588,0.095685,0.060131,0.15406,0.13085,0.5635624702111092
1977.4,0.12613,127.34,5.9631,0.068268,0.054573,0.095928,0.059993,0.1542,0.13102,0.5639798270305372
1975.2,0.12581,127.75,5.96,0.068286,0.054575,0.095981,0.059959,0.15659,0.13099,0.5663801319476905
1980.0,0.12546,126.75,6.9587,0.067446,0.054733,0.092243,0.062678,0.16028,0.12985,0.5672297617965034
1980.5,0.1258,128.84,5.9558,0.068297,0.05459,0.096066,0.059909,0.15862,0.13097,0.5684493680533762
1981.0,0.12616,126.63,5.9979,0.068232,0.054567,0.095712,0.060122,0.15975,0.13099,0.5693744999067905
