Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
306.28,223.13,72.166,10.678,0.051091,0.14006,0.11049,0.10701,0.35971,0.040744,0.13438,0.030468,0.2222,1.1961594339372377
308.19,219.25,72.008,10.494,0.050987,0.14011,0.11038,0.10696,0.36802,0.041012,0.1344,0.030595,0.22208,1.2045381754490292
312.46,227.89,71.374,10.652,0.050887,0.14054,0.11041,0.10704,0.36853,0.040785,0.13455,0.030549,0.22218,1.2054793662693564
307.86,223.84,72.825,10.511,0.051063,0.14006,0.11041,0.10696,0.37145,0.041028,0.13439,0.030503,0.22208,1.2079434213883844
306.53,217.05,72.21,10.172,0.051043,0.14002,0.11028,0.10697,0.37558,0.041655,0.1344,0.030684,0.2219,1.2125294813997938
307.85,221.64,71.788,10.424,0.050945,0.14018,0.11035,0.10696,0.37751,0.041222,0.13445,0.030556,0.22203,1.2142014181648977
314.63,230.7,71.226,10.407,0.050766,0.14074,0.11028,0.10699,0.37829,0.041307,0.13466,0.030582,0.22202,1.2156421086803786
308.18,209.68,71.998,9.9668,0.051061,0.14001,0.11019,0.10701,0.37966,0.041894,0.13436,0.030931,0.22182,1.2169399361326414
310.7,220.45,71.268,10.415,0.050827,0.14035,0.11031,0.10696,0.38085,0.041191,0.13449,0.030629,0.22202,1.2176265819735501
308.19,223.82,71.987,9.7273,0.050945,0.14035,0.11009,0.10707,0.38046,0.04276,0.13461,0.030689,0.22164,1.2186190553778293
