Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
204.83,0.041258,1.3559,3.2747,0.10812,0.12326,0.16763,0.10046,0.080853,0.1637,0.15396,0.24983,1.2357,2.3835015506443775
205.14,0.041493,1.3476,3.3504,0.10806,0.12254,0.17433,0.098259,0.079848,0.16295,0.15347,0.25011,1.2432,2.392808560810674
205.2,0.043516,1.3553,3.117,0.10867,0.12428,0.16375,0.10653,0.081757,0.16521,0.15425,0.24956,1.2392,2.3932330369952055
204.59,0.044936,1.3924,3.0407,0.10887,0.12501,0.15757,0.10941,0.082422,0.16595,0.15454,0.24929,1.2429,2.3959013683634685
204.89,0.04579,1.4271,3.2834,0.10846,0.12282,0.17096,0.10153,0.079379,0.16333,0.15317,0.25,1.2468,2.3964027973890785
200.57,0.081949,2.9055,3.6024,0.10849,0.12083,0.15338,0.094678,0.071968,0.15823,0.14978,0.24975,1.3164,2.4235350255358745
206.52,0.0414,1.4005,3.547,0.10766,0.12132,0.18125,0.092206,0.078284,0.16125,0.15281,0.25048,1.2793,2.424570020122812
206.56,0.040595,1.4009,3.5873,0.10751,0.12118,0.18171,0.090767,0.078267,0.16099,0.15285,0.25051,1.2836,2.4273503195591095
187.44,0.040098,1.825,4.1524,0.10593,0.11946,0.16023,0.071786,0.076483,0.15709,0.15272,0.25075,1.3457,2.4401373538659596
206.7,0.044793,1.6623,3.4932,0.10735,0.12256,0.16123,0.09355,0.079257,0.16135,0.15336,0.24965,1.3119,2.4402093819824655
