Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
1591.7,0.16498,124.41,4.538,0.05534,0.18198,0.069637,0.13477,0.10561,0.055568,0.6029024706857894
1593.7,0.16477,124.42,4.5379,0.055341,0.18204,0.069639,0.13477,0.10562,0.055567,0.6029845485520625
1583.3,0.16616,123.98,4.549,0.05531,0.18238,0.069601,0.13472,0.10545,0.055612,0.6030652336195872
1591.1,0.16497,124.4,4.5381,0.055339,0.18226,0.069638,0.13477,0.10561,0.055569,0.6031791462859108
1590.1,0.1656,124.39,4.5241,0.055368,0.18265,0.069651,0.13483,0.10576,0.055524,0.6037828523205812
1598.6,0.16513,123.89,4.5491,0.055316,0.18344,0.069601,0.13476,0.10547,0.055609,0.6041959135534467
1581.0,0.16681,124.36,4.5695,0.055281,0.18469,0.069564,0.13463,0.10524,0.05568,0.6050830510518717
1592.5,0.16556,124.29,4.5061,0.055407,0.18495,0.069677,0.13492,0.10596,0.055466,0.6063815563815469
1616.7,0.16244,124.65,4.5397,0.05535,0.18567,0.069655,0.13481,0.10565,0.055563,0.6067026699042968
1597.0,0.16241,125.41,4.5925,0.055255,0.18662,0.069609,0.13451,0.10512,0.055729,0.6068420213496876
