Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
455.66,0.58146,102.25,13.326,8.357e-06,0.064007,0.086457,0.055403,0.12756,0.068224,0.2574,0.6590543130887466
450.21,0.58421,102.21,13.585,8.2506e-06,0.063933,0.086448,0.05541,0.12759,0.068219,0.26321,0.6648119594319029
459.44,0.57958,101.93,13.279,8.3635e-06,0.064,0.08642,0.055404,0.12762,0.068279,0.26324,0.6649653465432033
455.66,0.57602,102.15,13.37,8.3559e-06,0.064032,0.086431,0.05539,0.12754,0.06825,0.26348,0.6651197287918478
455.68,0.58135,102.82,13.338,8.2681e-06,0.063989,0.086521,0.055414,0.12754,0.068149,0.2637,0.6653129946391709
461.42,0.56596,102.83,13.253,8.2673e-06,0.064076,0.086514,0.055389,0.12748,0.068167,0.26437,0.6659980852713241
453.51,0.59524,102.88,13.24,1.0234e-05,0.064104,0.086314,0.055368,0.1273,0.068305,0.26472,0.6661115813613612
456.99,0.56605,102.49,13.087,8.2717e-06,0.064198,0.086547,0.05536,0.12737,0.068112,0.26805,0.669641903645215
450.7,0.57649,104.26,13.31,8.4821e-06,0.064098,0.08666,0.055394,0.12727,0.067948,0.26852,0.6698912738195552
448.11,0.57742,103.25,13.088,8.2714e-06,0.064203,0.086671,0.055368,0.12725,0.06794,0.26921,0.670650730182208
