Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
667.55,0.46256,119.09,4.7773,0.13791,0.10437,0.057124,0.25169,0.51495,0.11348,0.11179,0.033478,0.13918,1.4639731448341935
668.16,0.46252,119.15,4.7395,0.13828,0.10475,0.057836,0.25151,0.52216,0.11353,0.11287,0.033607,0.1394,1.4739403364801866
667.37,0.46351,120.69,4.7709,0.13795,0.10449,0.057197,0.25163,0.5275,0.11347,0.11181,0.033563,0.1392,1.4768038159780614
666.32,0.45985,121.18,4.7399,0.13825,0.10487,0.057727,0.25144,0.5301,0.11349,0.11272,0.033711,0.1394,1.4817000627514758
667.56,0.45822,119.02,4.7816,0.13785,0.10437,0.057009,0.25169,0.53458,0.11346,0.11175,0.033488,0.13918,1.4833926197145997
633.89,0.49238,117.74,4.7924,0.13797,0.1038,0.056679,0.25193,0.5371,0.11373,0.11093,0.03314,0.13895,1.4842320158659166
623.2,0.49889,120.77,4.7691,0.13819,0.10413,0.057011,0.25175,0.53595,0.11375,0.11131,0.033333,0.13906,1.4844894975791734
668.85,0.46303,118.07,4.7396,0.1383,0.1047,0.057878,0.25154,0.53597,0.11355,0.11295,0.033555,0.1394,1.4878371954681175
681.03,0.45008,118.47,4.8705,0.13696,0.10377,0.05538,0.25205,0.55104,0.11328,0.1094,0.033254,0.13872,1.493850867008959
681.18,0.45159,118.47,4.87,0.13697,0.10376,0.055395,0.25205,0.55227,0.11328,0.10937,0.033245,0.13871,1.495045568254902
