Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
401.73,0.012908,23.811,11.564,0.046398,0.10736,0.029433,0.12746,0.21968,0.064039,0.58257,0.13138,0.12031,1.4286222673973494
433.54,0.012358,24.163,11.445,0.046028,0.10753,0.029503,0.12745,0.21972,0.064512,0.59278,0.13096,0.12046,1.4389405766126753
403.67,0.013803,23.93,11.612,0.046593,0.10725,0.029385,0.12743,0.21974,0.06354,0.59355,0.13175,0.12013,1.439369577358253
414.45,0.012591,23.803,11.413,0.046194,0.10749,0.029495,0.12748,0.21972,0.064365,0.59409,0.13111,0.12037,1.4403230481562836
412.82,0.012944,24.638,11.334,0.046169,0.10735,0.029545,0.12754,0.21965,0.064521,0.60015,0.1308,0.12041,1.4461318447499687
395.79,0.013103,24.594,11.425,0.046335,0.10725,0.029512,0.12755,0.2196,0.064354,0.60026,0.13093,0.12038,1.4461578129594637
401.91,0.012844,24.634,11.437,0.046249,0.10729,0.029521,0.12754,0.21959,0.064474,0.6054,0.13084,0.12043,1.4513419670441343
397.46,0.013216,24.439,11.267,0.046292,0.10732,0.029559,0.12758,0.21965,0.064447,0.60557,0.13085,0.12035,1.4516158477735732
413.24,0.014592,24.914,11.288,0.046462,0.10715,0.029484,0.12753,0.21975,0.063816,0.60645,0.13126,0.12012,1.4520175964214368
431.52,0.013636,24.797,11.274,0.046174,0.10736,0.029521,0.12751,0.21976,0.064234,0.60633,0.13098,0.12028,1.4521447652437844
