Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1998.7,0.11548,126.32,19.211,0.13019,0.2654,0.055817,0.084346,0.071106,0.062343,0.6692021011056691
1996.8,0.1155,126.23,19.223,0.13018,0.26541,0.055811,0.084321,0.071131,0.062351,0.6692103456309366
1998.8,0.11552,126.36,19.211,0.13018,0.26547,0.055818,0.084346,0.071104,0.062343,0.669262205372414
1991.8,0.1158,126.0,19.179,0.13017,0.26559,0.055787,0.084265,0.071193,0.062362,0.6693712051004967
1996.0,0.11523,126.38,19.207,0.13014,0.26583,0.055807,0.08434,0.071107,0.062359,0.6695822662221392
1984.9,0.11508,126.74,19.198,0.13,0.26623,0.055765,0.084267,0.071153,0.06241,0.6698247625788859
1990.9,0.11484,126.86,19.059,0.13,0.26632,0.055778,0.084385,0.071049,0.062378,0.6699102092935794
1992.7,0.11557,126.28,19.502,0.13019,0.2661,0.055817,0.084195,0.07123,0.062391,0.6699190037317111
1999.4,0.1156,126.5,19.215,0.13018,0.26621,0.055821,0.084351,0.071096,0.062341,0.6699936743694168
1960.8,0.11514,126.22,19.213,0.12985,0.26673,0.055672,0.084031,0.071374,0.062507,0.6701673982316645
