Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
445.74,8.8186,90.711,2.0849,0.04355,0.10245,0.095191,0.14486,0.22799,0.10977,0.2841,0.11466,0.12042,1.2429760899346634
444.38,7.9326,89.611,2.1301,0.043536,0.1023,0.093227,0.14435,0.22766,0.10851,0.29033,0.11451,0.12007,1.2444988283300538
438.24,7.91,89.973,2.1668,0.043529,0.10221,0.091757,0.14396,0.22739,0.10751,0.29408,0.11442,0.1198,1.2446615311864502
444.92,9.4428,90.197,2.1153,0.043514,0.10239,0.093917,0.14453,0.22776,0.10895,0.28934,0.11455,0.1202,1.245141845761145
446.61,9.282,90.778,2.0769,0.043546,0.10246,0.09554,0.14495,0.22804,0.11,0.28545,0.11468,0.12048,1.2451607971953482
448.7,9.3449,90.713,2.0692,0.043546,0.10248,0.095859,0.14505,0.2281,0.11022,0.28469,0.1147,0.12055,1.2451964942863942
445.7,9.3927,90.7,2.0876,0.043536,0.10245,0.095088,0.14483,0.22796,0.1097,0.28676,0.11464,0.1204,1.2453805818096302
448.49,9.4547,90.746,2.0738,0.043541,0.10248,0.09567,0.14499,0.22807,0.1101,0.28546,0.11469,0.12052,1.2455173497237126
448.97,9.3909,90.697,2.0688,0.043544,0.10249,0.095878,0.14505,0.2281,0.11024,0.28498,0.1147,0.12055,1.245540669405166
448.32,9.339,90.698,2.0695,0.043546,0.10248,0.095845,0.14504,0.2281,0.11021,0.28508,0.1147,0.12054,1.2455451460828348
