Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
432.05,0.55958,104.15,15.982,3.5498e-06,0.063093,0.086241,0.055508,0.12838,0.06828,0.24107,0.6425711754161348
432.2,0.56769,103.94,15.987,3.8805e-06,0.06309,0.08627,0.055486,0.12845,0.06828,0.24105,0.6426210996355977
443.16,0.54722,105.67,15.994,4.1973e-06,0.06305,0.086288,0.055564,0.12859,0.068255,0.24355,0.645296589665384
434.03,0.56726,104.11,15.989,3.8825e-06,0.063079,0.086267,0.055493,0.12847,0.068286,0.24418,0.6457729872292914
432.35,0.56839,102.48,15.994,3.7581e-06,0.063088,0.086111,0.055487,0.12856,0.068467,0.24452,0.6462411096699971
468.78,0.50675,105.32,15.745,3.8202e-06,0.06308,0.085907,0.055718,0.12905,0.068669,0.24477,0.6471920789438148
432.5,0.55074,103.93,15.994,3.5994e-06,0.063114,0.086194,0.055525,0.12844,0.068326,0.24577,0.647372163178654
428.52,0.57817,103.36,15.987,3.7734e-06,0.063087,0.086271,0.055459,0.12841,0.068286,0.24678,0.6482940029697084
433.17,0.5667,104.5,15.985,3.8008e-06,0.063083,0.086309,0.055492,0.1284,0.068229,0.24688,0.648390512422306
435.94,0.56754,104.06,15.988,4.0546e-06,0.063064,0.086249,0.055498,0.12853,0.068319,0.24683,0.6484889315121516
