Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
497.41,1.4083,88.153,2.9094,0.041808,0.1057,0.071021,0.14027,0.22407,0.09249,0.32708,0.11272,0.11931,1.2344673247470548
504.74,1.3888,87.197,2.945,0.041803,0.10528,0.070065,0.14001,0.22389,0.091957,0.33507,0.11278,0.11928,1.2401368549352667
493.77,1.4888,88.372,2.9082,0.04191,0.10528,0.070684,0.14015,0.22403,0.092269,0.33827,0.11281,0.1191,1.2444891024725664
493.79,1.4803,85.646,2.9093,0.042009,0.10432,0.069633,0.13986,0.22393,0.091804,0.35938,0.11297,0.11894,1.2628435268010472
493.76,1.4918,85.612,2.9376,0.04205,0.10399,0.068865,0.13965,0.22377,0.091299,0.36174,0.11304,0.11882,1.2632413537230114
508.92,1.2777,87.689,2.9983,0.041678,0.10548,0.069588,0.13993,0.22371,0.091563,0.36028,0.1127,0.11942,1.2643365574787433
511.37,1.5643,86.974,2.8127,0.041844,0.10563,0.072742,0.14068,0.22451,0.093867,0.37683,0.11271,0.11947,1.2882755870713714
493.14,1.4101,85.703,2.9317,0.041958,0.1045,0.069366,0.13981,0.22385,0.091586,0.38694,0.11294,0.119,1.2899526141657738
465.65,1.5816,87.104,2.7956,0.042144,0.10479,0.071821,0.14042,0.22442,0.093039,0.38939,0.11295,0.1188,1.2977680674688141
480.68,1.4672,85.449,2.8892,0.042082,0.10423,0.06971,0.13989,0.22398,0.091807,0.41056,0.11302,0.11881,1.314087664394942
