iteration,cp_lh_0,cp_lh_1,cp_lh_2,cp_lh_3,cp_lh_4,cp_lh_5,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,19.821,13.682,144.97,216.56,2.6962,68.794,32.167,18.749,0.6169109742801152,0.3010087610112612,0.7127250387379336
2,99.517,283.61,133.62,233.7,97.304,14.503,111.29,18.334,0.27626819224777077,0.1399140178527583,0.3208042073459991
3,131.39,0.34424,174.58,223.75,90.76,0.78956,27.132,17.265,0.5885657768688837,0.2138747092071297,0.6566442112141965
4,181.07,174.36,148.34,963.03,4.0863,11.419,111.65,14.436,0.3233341876468716,0.13492533931424974,0.3662822570472998
5,114.43,223.26,138.22,211.05,155.06,10.06,65.974,18.597,0.15934307901485248,0.1555863369901942,0.2088677482339541
6,114.3,225.96,140.2,229.67,156.32,38.954,72.37,18.197,0.10157669990449485,0.15742628003069592,0.15168704118340323
7,574.68,323.91,40.524,236.41,156.4,114.81,68.555,11.417,0.028645576649962805,0.10123116315036948,0.06086845667060966
8,591.73,324.39,41.325,234.41,169.49,116.99,58.741,10.737,0.04818403442711645,0.1016949831225287,0.08055455293031108
9,583.29,384.88,32.167,251.05,269.98,260.5,60.887,11.732,0.09878230534653928,0.10147091975464208,0.13108150226460397
10,564.47,514.72,41.455,235.62,195.84,142.1,60.811,12.87,0.0651682008846981,0.09996963842209514,0.09698952511266992
11,569.7,406.65,45.996,240.45,116.28,120.56,63.132,11.648,0.01763810955975678,0.10052126730800515,0.0496350227156183
12,576.67,397.33,44.948,243.15,152.82,242.02,62.091,11.824,0.046524138041751775,0.10084791458044812,0.07862502625372686
13,515.93,377.02,120.47,210.1,52.901,160.61,64.332,11.001,0.0287058626075364,0.0995353274245807,0.060388941351321015
14,572.42,401.92,40.931,244.09,148.11,119.81,62.789,11.545,0.013150859398897284,0.10083202596523747,0.04524669010757305
15,581.83,412.47,41.215,227.78,149.41,117.88,62.729,11.24,0.014218088758754133,0.10098454669948495,0.04636246832498888
16,590.16,398.51,3.9865,229.56,179.52,82.008,42.271,10.744,0.19413516185763804,0.10186512553226815,0.22655983837191188
17,611.35,429.62,38.661,231.49,146.9,118.6,62.982,11.133,0.01952339730319437,0.10105492147727807,0.051690177856938656
18,561.92,391.63,39.712,247.65,163.12,115.45,64.269,11.22,0.01409567108257552,0.10087451606750852,0.046205026810869125
19,581.91,394.95,39.744,259.97,144.69,120.79,63.445,11.262,0.013723706984253325,0.1008645052562759,0.045829876172362866
20,580.66,395.51,44.501,186.53,163.44,131.12,61.553,10.961,0.015661266464628034,0.10143217784694988,0.04794813145046467
21,555.31,413.47,41.397,264.88,125.84,111.66,62.273,11.979,0.01858377848671503,0.1000726181494063,0.050437882179966496
22,702.28,435.33,39.202,237.08,148.02,145.58,61.891,11.758,0.046663854262935865,0.10159689499949962,0.07900315034685312
23,559.28,395.97,40.206,278.27,144.68,116.86,63.611,11.175,0.013139943950957068,0.10053536974942588,0.045141346053342135
24,487.75,459.42,5.4753,519.37,78.312,113.66,64.119,13.805,0.01952372550146536,0.16137745180094992,0.0708917638168559
25,558.4,403.02,50.118,217.28,117.65,173.53,62.584,10.966,0.015902351517221462,0.10077510495070341,0.04798006370423943
26,545.45,403.91,64.928,272.33,147.61,77.627,62.574,11.206,0.01302756419950611,0.10043591633799437,0.044997309297817825
27,587.83,392.97,40.236,323.13,141.94,116.87,62.097,11.807,0.01681263211503787,0.100188138304623,0.0487035070157483
28,556.89,393.89,63.626,344.15,139.26,114.75,62.37,10.997,0.02293053058692643,0.09982639743342625,0.05470625979209819
29,580.41,360.08,33.88,286.34,150.3,116.21,62.394,11.522,0.014311563073821648,0.10085039241959774,0.04641324000649443
30,585.62,390.44,44.213,258.03,129.15,147.61,63.158,12.381,0.017473467418726355,0.10044536846079923,0.049446221221172273
31,581.83,388.12,39.396,257.06,144.33,120.14,63.552,11.504,0.013368013974598945,0.10086121077563573,0.04547313449695088
32,570.4,408.77,29.182,244.79,146.22,123.11,60.911,11.196,0.020897640423029,0.10089196816812217,0.0530125513274826
33,567.37,395.94,42.06,227.36,156.31,143.4,62.048,11.377,0.014141366205899885,0.1009929675460448,0.04628842621084467
