Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
706.69,0.36647,121.28,19.975,0.055758,0.20785,0.12999,0.070217,0.084749,0.062044,0.6106070810802608
706.69,0.36647,121.28,19.959,0.055758,0.2079,0.12999,0.070216,0.08475,0.062046,0.6106532185682286
705.13,0.36671,121.5,19.987,0.05576,0.20822,0.12997,0.070182,0.084772,0.062044,0.6109444713974748
717.33,0.36147,121.29,19.884,0.055763,0.2084,0.13002,0.070277,0.08471,0.06205,0.6112219831664074
706.84,0.36615,121.64,19.907,0.055762,0.20867,0.12995,0.070179,0.084775,0.062051,0.6113850061734113
715.51,0.36275,121.29,19.975,0.055761,0.20858,0.13004,0.070278,0.084705,0.062039,0.6114017296521362
717.88,0.35978,121.29,19.87,0.055764,0.20859,0.13001,0.070259,0.084727,0.062057,0.611408194180441
717.41,0.35937,121.61,19.873,0.055768,0.20866,0.12998,0.070219,0.084754,0.062058,0.611436622515572
699.33,0.37251,120.8,19.893,0.055747,0.20877,0.12999,0.070241,0.084732,0.062049,0.6115265687558082
710.31,0.36621,120.65,19.994,0.055751,0.20868,0.13007,0.070317,0.08468,0.062038,0.6115315947834118
