Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
894.18,0.33198,122.79,3.8655,0.2614,0.071205,0.138,0.057338,0.054197,0.11493,0.6970718410081403
894.07,0.33248,123.21,3.8443,0.26167,0.071264,0.13813,0.057433,0.054201,0.11527,0.6979661330213812
891.11,0.3303,123.49,3.8692,0.26245,0.071214,0.13794,0.057322,0.054207,0.11492,0.6980515709618854
894.36,0.33197,123.17,3.868,0.26264,0.071204,0.13798,0.057335,0.054199,0.11492,0.6982795139769208
896.78,0.32826,123.43,3.8802,0.26314,0.071182,0.13788,0.057287,0.054207,0.11477,0.6984727991579383
896.8,0.32824,123.44,3.8803,0.26316,0.071182,0.13788,0.057287,0.054207,0.11477,0.6984923550695827
891.17,0.33604,121.9,3.8692,0.26301,0.071177,0.13802,0.057308,0.054184,0.1148,0.6984971262961507
898.86,0.32853,122.99,3.8784,0.26318,0.071176,0.13791,0.057294,0.054202,0.11478,0.6985429760512393
896.99,0.33214,122.8,3.8115,0.26134,0.07134,0.13835,0.057573,0.054207,0.11575,0.6985594674941683
894.43,0.33251,123.26,3.8435,0.26238,0.071267,0.13813,0.057438,0.054201,0.11529,0.698703206172121
