Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g63),Error (g59),Error (g86),Reduced Error
35.485,19.227,497.79,1.139,0.14157,0.076715,1.7061,0.21998,0.076329,0.14003,2.360735219914732
35.485,19.247,497.79,1.139,0.14159,0.07674,1.706,0.22005,0.076325,0.14012,2.3608263166323797
35.566,19.266,497.5,1.1147,0.14163,0.076768,1.7066,0.21973,0.076383,0.13988,2.360974554642335
35.497,18.778,491.78,1.1397,0.14115,0.076209,1.712,0.21812,0.076479,0.13782,2.361739324686635
35.59,19.715,499.67,1.1485,0.14208,0.077321,1.7031,0.22178,0.076195,0.14235,2.3628578392308244
36.557,19.753,495.41,1.1826,0.14224,0.077477,1.7031,0.22156,0.076166,0.14245,2.3629723046058717
36.047,19.411,489.34,1.1866,0.14192,0.077071,1.7065,0.22042,0.076269,0.14093,2.3631425225002896
36.796,19.728,487.68,1.1826,0.14234,0.077532,1.7047,0.22091,0.076246,0.142,2.363689329704768
35.705,19.421,490.45,1.1843,0.14189,0.077053,1.7067,0.22069,0.076255,0.14111,2.363699971278871
34.953,19.503,499.06,1.1261,0.14183,0.077015,1.7061,0.22113,0.076282,0.14133,2.363731598601841
