Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
308.61,229.68,74.236,10.162,0.049153,0.14018,0.11062,0.10703,0.65479,0.042001,0.13446,0.028904,0.22157,1.4887080699674293
309.7,232.59,73.926,10.164,0.049042,0.14026,0.11059,0.10702,0.6551,0.042048,0.13451,0.028844,0.22154,1.4889522847600971
309.71,232.85,73.902,10.161,0.049037,0.14026,0.11058,0.10702,0.65536,0.042059,0.13451,0.028839,0.22154,1.4892068174049933
309.43,232.88,73.891,10.202,0.049069,0.14032,0.11063,0.10705,0.65549,0.041947,0.13452,0.028848,0.2216,1.4894594408289137
309.41,232.95,73.895,10.203,0.04907,0.14032,0.11063,0.10705,0.6555,0.041947,0.13452,0.028847,0.2216,1.489468604748641
309.44,233.0,73.891,10.164,0.049044,0.14026,0.11058,0.10702,0.65583,0.042057,0.13452,0.028839,0.22154,1.4896904561146294
309.37,235.74,73.921,10.267,0.049106,0.14041,0.11068,0.10709,0.65618,0.041807,0.13454,0.02882,0.22167,1.4903025298280999
310.02,235.84,73.815,10.202,0.049026,0.14036,0.1106,0.10704,0.6566,0.041991,0.13455,0.028801,0.22158,1.4905396379858518
310.02,233.62,73.951,10.271,0.049097,0.14043,0.1107,0.1071,0.65651,0.041759,0.13452,0.028851,0.22169,1.4906454329074896
310.82,235.34,73.774,10.18,0.04898,0.14035,0.11058,0.10702,0.65679,0.042039,0.13455,0.028799,0.22155,1.490658279646023
