Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g303),Error (g237),Error (curve),Error (g86),Error (g59),Reduced Error
741.17,0.35005,119.58,11.224,0.12636,0.066584,0.088366,0.15857,0.055296,0.064861,0.5600352441464852
741.18,0.34518,121.28,11.045,0.12627,0.066399,0.088498,0.16121,0.055277,0.064962,0.5626206384361645
730.24,0.35006,119.22,11.45,0.12588,0.066538,0.088423,0.1624,0.055311,0.064699,0.5632527819897473
730.18,0.34947,119.3,11.371,0.126,0.066533,0.088422,0.17058,0.055304,0.064766,0.5716020795287382
716.55,0.35574,119.55,11.493,0.1256,0.066451,0.088516,0.17555,0.055295,0.064689,0.5761030506736717
732.71,0.35367,117.39,11.477,0.12614,0.06669,0.088318,0.17583,0.055308,0.064706,0.57698645535707
714.64,0.35634,120.17,11.461,0.1256,0.066411,0.088538,0.1767,0.055295,0.064707,0.5772439163042443
723.03,0.36549,119.01,11.351,0.12625,0.066621,0.088354,0.176,0.055292,0.064796,0.5773053894027367
719.2,0.35725,119.25,11.568,0.12554,0.066481,0.088507,0.17755,0.0553,0.064627,0.5779991599073467
720.61,0.35603,119.74,11.55,0.12553,0.066458,0.088515,0.17913,0.055303,0.064631,0.5795627746633523
