Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g86),Error (g59),Error (curve),Error (g303),Error (g237),Reduced Error
1940.8,0.00030615,169.99,3.6185,0.12898,0.061859,0.072657,0.63574,0.054517,0.11731,1.0710679993774748
1960.8,0.00030549,169.23,3.6137,0.12933,0.06199,0.072625,0.63801,0.054506,0.11734,1.0738064610382483
1912.8,0.00031174,167.36,3.6936,0.12771,0.061176,0.07261,0.66605,0.054438,0.11634,1.0983273727335137
1937.2,0.00031027,166.25,3.72,0.1278,0.061134,0.072533,0.6796,0.05439,0.116,1.1114567183474569
1964.2,0.00031599,169.9,3.634,0.12919,0.061905,0.072527,0.677,0.054453,0.11703,1.1120996392460094
1946.2,0.00030274,164.23,3.7431,0.12767,0.061002,0.072538,0.68314,0.054376,0.11574,1.114458714300914
1961.8,0.00030661,164.85,3.7325,0.12804,0.061169,0.072486,0.68586,0.054367,0.11583,1.1177551401952175
1980.8,0.00029506,162.86,3.7734,0.12788,0.061025,0.072463,0.68763,0.054344,0.11539,1.1187380882782734
1948.5,0.0002906,164.24,3.7546,0.12754,0.060934,0.072587,0.68796,0.054389,0.11567,1.119088269718937
1949.0,0.00029326,164.38,3.7091,0.12805,0.061209,0.072618,0.69085,0.05443,0.1162,1.1233558293241366
