Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
529.21,0.62937,125.83,10.901,9.0302e-05,0.1281,0.066193,0.088167,0.055531,0.064607,0.27127,0.6738660155666127
532.86,0.62573,125.19,11.28,9.0311e-05,0.12824,0.066444,0.087873,0.055585,0.064331,0.27543,0.6778959835655103
528.34,0.63262,125.5,11.288,9.0327e-05,0.12818,0.066405,0.087911,0.055581,0.064342,0.27608,0.6785012774262509
527.6,0.63428,125.52,11.261,9.0317e-05,0.12816,0.06638,0.087939,0.055572,0.064363,0.27633,0.6787465127954548
527.53,0.63865,124.74,11.255,9.0302e-05,0.12813,0.066364,0.087961,0.05554,0.064368,0.27728,0.6796434128246234
528.53,0.62456,126.47,11.202,9.0349e-05,0.12821,0.066379,0.08794,0.055617,0.064396,0.27753,0.6800738308947205
528.37,0.6268,125.4,11.758,9.038e-05,0.12836,0.066708,0.087544,0.055692,0.06405,0.27795,0.6803088079979888
532.86,0.62573,125.19,11.456,9.0311e-05,0.12829,0.06655,0.087745,0.055616,0.064219,0.27831,0.6807265675541638
532.41,0.63019,124.82,11.271,9.0291e-05,0.1282,0.066423,0.087897,0.055559,0.06434,0.279,0.6814216692922044
525.61,0.63142,126.69,11.243,9.0299e-05,0.12816,0.066366,0.087946,0.055609,0.064383,0.27939,0.6818593068872012
