Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g190),Error (g237),Error (g60),Error (g79),Error (curve),Error (g215),Error (g278),Error (g189),Error (g178),Reduced Error
1.6265,0.00010983,0.37987,19.947,0.21172,0.075988,0.30135,0.16334,0.84238,0.21004,0.10185,0.25493,0.24114,2.4027271412590534
1.6264,0.00010845,0.37371,19.978,0.21112,0.076134,0.30171,0.16366,0.84589,0.21011,0.10191,0.25485,0.24185,2.407227791640726
1.6763,0.00011233,0.38588,19.978,0.21153,0.07588,0.30068,0.16318,0.86785,0.20955,0.10176,0.25471,0.24042,2.4255602131609972
1.6498,0.00011547,0.41012,19.947,0.21395,0.075342,0.29978,0.16213,0.87203,0.20963,0.1016,0.2551,0.23836,2.4279225900620696
1.6263,0.00011562,0.44009,19.976,0.21653,0.074736,0.2992,0.16128,0.87668,0.20991,0.10147,0.25548,0.23689,2.4321678635172184
1.5745,0.00010428,0.39803,19.978,0.21365,0.075569,0.30197,0.16315,0.90531,0.21082,0.10184,0.25527,0.24156,2.4691394559187407
1.5737,0.00011008,0.36829,19.947,0.21158,0.07623,0.30177,0.1634,0.91781,0.2104,0.10195,0.25516,0.24146,2.4797668169328833
1.5921,0.00010841,0.42764,19.977,0.21586,0.074961,0.30061,0.16207,0.91979,0.21054,0.10162,0.25547,0.23911,2.4800461324300898
1.6771,0.00010192,0.28864,19.978,0.20295,0.077951,0.30562,0.16731,0.91677,0.21032,0.10265,0.25383,0.2489,2.4862963731483907
1.6284,0.00011296,0.35671,19.947,0.20993,0.076519,0.30142,0.16372,0.9318,0.20977,0.10196,0.25479,0.24147,2.491385140803221
