Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
320.91,2.6156,252.78,3.4808,0.051072,0.05107181273491396
320.91,2.6156,252.83,3.4808,0.051072,0.05107224801876141
320.91,2.6156,252.87,3.4808,0.051072,0.0510722791942416
320.91,2.6156,252.47,3.4808,0.051072,0.05107234052924969
320.91,2.6156,252.84,3.4809,0.051072,0.051072351601847914
320.91,2.6156,252.83,3.4809,0.051072,0.05107235902700564
320.91,2.6156,252.86,3.4812,0.051072,0.051072393058152185
320.91,2.6156,252.85,3.4812,0.051072,0.051072396385341085
320.91,2.6156,252.9,3.4809,0.051072,0.05107239856982613
320.91,2.6156,252.46,3.4809,0.051072,0.05107243018597366
