Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g59),Error (g303),Error (g237),Error (g86),Error (g63),Reduced Error
500.56,521.41,142.07,1.5644,8.1998e-05,0.28823,0.018708,0.027007,0.04431,0.032915,0.34441,0.12593088912517206
723.71,0.0092384,56.494,14.941,7.9065e-05,0.34704,0.019317,0.024524,0.034631,0.018499,0.31327,0.12621342584447134
716.67,54.127,164.07,1.3854,8.8014e-05,0.28844,0.018738,0.027234,0.04477,0.034213,0.34659,0.12666313136209684
491.23,537.87,138.84,1.5863,8.1959e-05,0.29439,0.018705,0.026967,0.04424,0.032717,0.34421,0.12687216021300848
730.26,0.00026237,54.337,15.468,8.7821e-05,0.35331,0.019392,0.024638,0.034255,0.018131,0.31197,0.12694983273716462
502.85,513.08,141.43,1.5854,9.2287e-05,0.30177,0.018696,0.026986,0.044241,0.032798,0.34425,0.12812314119538268
506.18,534.06,141.67,1.5587,8.0324e-05,0.30253,0.018708,0.027014,0.044329,0.032957,0.34449,0.12833654368677963
465.13,522.64,142.0,1.5681,8.3139e-05,0.30749,0.018719,0.027004,0.044304,0.032879,0.34432,0.12911906782623114
460.36,138.55,135.77,1.5672,8.4925e-05,0.31783,0.018729,0.02698,0.04425,0.032714,0.34442,0.13081955496641687
511.16,538.63,143.33,1.5615,7.8865e-05,0.32259,0.018706,0.027007,0.04432,0.032927,0.34443,0.13166370313767328
