Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
460.73,0.51702,98.837,15.315,2.3645e-06,0.06332,0.085538,0.055619,0.1287,0.069036,0.28884,0.6910560533014414
460.73,0.51702,98.837,15.648,2.3645e-06,0.063244,0.085382,0.05562,0.12878,0.069177,0.28952,0.6917138272552936
460.55,0.51702,100.9,15.657,2.7486e-06,0.063268,0.085533,0.055601,0.12874,0.069033,0.29147,0.6936399482858355
462.01,0.51141,101.08,15.655,2.5484e-06,0.063268,0.085532,0.055622,0.1287,0.069021,0.29187,0.6940147779520531
462.52,0.51281,100.97,15.684,2.7394e-06,0.063257,0.085519,0.055616,0.12878,0.069054,0.2918,0.6940348766459379
458.42,0.52019,101.22,15.629,2.7569e-06,0.063286,0.085571,0.055585,0.12866,0.068982,0.29213,0.6942121977400295
461.17,0.51687,101.19,15.638,2.7846e-06,0.063273,0.085557,0.0556,0.12873,0.069007,0.29206,0.694219892445928
459.5,0.51755,101.41,15.667,2.7941e-06,0.063277,0.085566,0.055592,0.12869,0.068993,0.29229,0.6944056755736057
460.88,0.51682,100.92,15.683,2.7896e-06,0.063261,0.085523,0.055601,0.12876,0.069046,0.29226,0.6944566639358025
462.42,0.51296,100.84,15.683,2.74e-06,0.063256,0.085513,0.055617,0.12879,0.069063,0.29223,0.6944757233663583
