Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
194.15,583.0,63.5,10.356,4.2679e-05,0.12763,0.053847,0.068034,0.099523,0.2962,0.062998,0.7082331644899728
193.86,607.79,63.257,10.376,4.4842e-05,0.12766,0.053848,0.068075,0.09991,0.2975,0.062831,0.7098219661141079
193.69,582.59,62.943,10.181,4.272e-05,0.12771,0.053874,0.0681,0.099631,0.29798,0.062862,0.7101534829115704
192.08,583.3,63.095,9.6393,4.2945e-05,0.12775,0.053965,0.068347,0.1001,0.29972,0.062303,0.7121860150200282
190.78,594.12,64.37,10.418,4.3423e-05,0.12742,0.053812,0.068137,0.10001,0.30069,0.06276,0.7128334092689266
193.53,595.66,62.94,10.508,4.2793e-05,0.12765,0.05381,0.068031,0.099687,0.30263,0.063038,0.7148476789806226
190.05,604.54,64.508,10.377,4.4678e-05,0.12739,0.053821,0.068185,0.10026,0.30329,0.062607,0.7155533756118532
196.96,586.72,63.205,10.319,4.3261e-05,0.12777,0.053873,0.067975,0.099327,0.30452,0.063092,0.7165540929497275
189.98,628.59,63.903,10.556,4.4995e-05,0.12743,0.0538,0.068179,0.10051,0.30536,0.062626,0.7179022746235411
189.89,659.99,63.165,10.377,4.3576e-05,0.1275,0.053811,0.068341,0.10106,0.30849,0.062342,0.7215426368278792
