Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
74.206,479.04,668.56,863.01,1.7036e-05,737.34,0.55188,11.36,0.1533,0.69138,0.39382,0.096401,0.21676,0.034327,0.12925,0.1712,0.14973,2.036159723330957
74.02,493.63,668.57,862.95,1.3853e-05,755.99,0.5029,11.358,0.15526,0.66507,0.42835,0.096375,0.21689,0.034369,0.13159,0.17238,0.1506,2.0508948145363606
74.108,479.38,668.56,862.96,1.7208e-05,744.77,0.54498,11.36,0.15341,0.72139,0.39401,0.096456,0.21677,0.034237,0.12944,0.17123,0.14978,2.066731966554901
78.268,479.38,668.57,864.17,7.4935e-06,734.9,0.37981,11.23,0.16058,0.59771,0.511,0.09608,0.21738,0.034303,0.13791,0.17573,0.15339,2.084102190743875
73.796,414.57,668.57,863.94,0.00071755,710.85,3.2285,11.341,0.12179,1.1491,0.12886,0.097687,0.21505,0.036289,0.09309,0.15249,0.1369,2.1312633409733968
76.92,403.81,668.57,862.97,0.0005749,554.07,2.7242,10.241,0.12187,1.1484,0.14053,0.097928,0.21505,0.036339,0.092787,0.15153,0.13649,2.140926069051179
63.882,446.47,668.76,864.72,0.00065732,642.49,2.3896,19.413,0.11729,1.1608,0.14186,0.099903,0.21593,0.036818,0.087924,0.1487,0.13363,2.1428920293595373
73.907,401.51,668.56,862.94,3.0343e-06,537.31,0.24471,11.348,0.16481,0.55804,0.60866,0.095819,0.21817,0.034761,0.14246,0.17807,0.15549,2.1562788522981147
77.255,402.0,668.57,862.99,0.0005057,543.14,2.548,11.247,0.12196,1.1599,0.14448,0.098033,0.21519,0.036392,0.092879,0.15161,0.13643,2.1568618743406422
73.843,479.15,668.56,863.0,1.0022e-05,789.74,0.4202,11.349,0.15877,0.76032,0.46957,0.096217,0.21724,0.034042,0.13592,0.1747,0.15257,2.199338557314731
