Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
19.823,729.03,0.50585,670.8,619.13,815.89,47.648,2.5702,0.1337,0.54828,0.052499,0.16923,0.22081,0.21183,0.093944,0.039942,0.044018,1.5142492179200493
19.858,727.34,0.55475,671.04,620.68,809.93,46.052,2.5297,0.1342,0.55816,0.052383,0.17076,0.22153,0.2185,0.094033,0.040165,0.044562,1.5342886030904794
19.245,728.06,0.50248,672.62,619.76,813.49,48.297,2.5731,0.13368,0.62048,0.052626,0.16913,0.22064,0.17624,0.093877,0.039807,0.043859,1.5503439181647904
20.877,729.98,0.48792,671.29,618.22,816.65,48.774,2.5788,0.13319,0.67485,0.052318,0.16762,0.22031,0.23633,0.093793,0.040218,0.04403,1.6626539141316659
21.23,709.28,0.16571,558.44,612.3,815.76,39.726,7.8286,0.13206,0.81751,0.050131,0.1573,0.22307,0.12086,0.098169,0.054064,0.050766,1.7039303860895851
19.447,727.7,0.52184,597.93,648.17,813.59,48.635,2.6123,0.13496,0.75848,0.053382,0.17233,0.22138,0.20789,0.093647,0.038255,0.043773,1.7240936998730778
18.686,705.75,0.56478,671.94,625.72,808.7,46.434,2.519,0.1346,0.76211,0.052668,0.17194,0.22176,0.20318,0.093965,0.039914,0.044387,1.7245287192501662
18.483,710.38,0.53458,671.9,653.07,816.52,47.597,5.3847,0.13051,0.88347,0.047528,0.15281,0.22086,0.15535,0.098692,0.054753,0.053112,1.7970733054523091
19.674,710.26,0.5174,598.98,704.48,816.52,48.542,6.4669,0.13159,0.93444,0.048729,0.1545,0.22163,0.11865,0.099029,0.054191,0.050688,1.8134503799701107
17.346,725.6,0.56924,671.84,626.54,815.59,42.665,2.5339,0.13524,0.73375,0.052461,0.1746,0.22279,0.31862,0.094742,0.039688,0.044711,1.8166009514014316
