Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1998.0,0.12208,123.1,9.3842,0.066193,0.088807,0.12847,0.065944,0.2432,0.055259,0.6478750581720781
1998.0,0.12164,123.34,9.3815,0.066178,0.08882,0.12843,0.065956,0.24345,0.055261,0.6481028056367139
1997.9,0.12175,123.54,9.3125,0.066095,0.088903,0.12842,0.066002,0.24463,0.055254,0.6493033605171463
1999.8,0.12111,123.34,9.4197,0.066204,0.088793,0.12842,0.065937,0.2452,0.055268,0.6498198938902136
1999.1,0.12111,123.34,9.4268,0.066213,0.088783,0.12841,0.065935,0.24561,0.055268,0.6502273040711078
1988.3,0.12194,123.38,9.4283,0.066253,0.088727,0.12839,0.065945,0.24567,0.055257,0.650240399310151
1994.4,0.12325,122.31,9.3332,0.06616,0.08884,0.12855,0.065955,0.2465,0.055246,0.6512418709197909
1989.6,0.12295,123.34,10.093,0.066867,0.088117,0.1284,0.06555,0.24716,0.055292,0.6513889713104944
1998.5,0.12244,123.33,9.4022,0.066232,0.088772,0.12847,0.065928,0.24712,0.055261,0.6517797543931065
2000.0,0.12111,123.36,9.2072,0.065901,0.089087,0.12838,0.066084,0.24729,0.055241,0.6519818975475133
