Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
597.68,32.038,234.52,296.32,352.29,1.2643,85.532,5.9955,0.2238,0.13387,0.043095,0.50553,0.05812,0.19567,0.066403,0.11143,0.14546,1.4833747595969182
570.14,30.793,192.06,297.28,337.72,1.2103,85.731,5.6859,0.22435,0.1335,0.043909,0.49956,0.058933,0.19859,0.069063,0.11093,0.14603,1.484862907749043
574.69,33.216,131.48,293.29,377.18,1.2199,85.731,5.9348,0.22485,0.13378,0.044853,0.51838,0.059287,0.1913,0.071477,0.11188,0.14669,1.5024949295533931
597.05,32.971,128.64,228.79,352.14,1.1873,85.474,6.1656,0.22566,0.13481,0.045004,0.62655,0.059918,0.10588,0.070002,0.1128,0.14405,1.5246710959983272
599.2,24.43,182.41,294.69,353.83,1.8949,83.432,6.3056,0.22356,0.13407,0.044007,0.58626,0.058678,0.16841,0.068315,0.11228,0.14544,1.5410276910068939
571.77,26.967,141.27,299.7,351.92,1.1471,85.737,5.163,0.22526,0.13331,0.04743,0.62944,0.060252,0.12953,0.074496,0.11039,0.14714,1.557251498435786
568.97,28.087,193.06,294.82,354.52,1.2041,85.729,5.9489,0.22432,0.13365,0.043848,0.61648,0.058928,0.16485,0.068518,0.11179,0.14629,1.5686637787613114
583.71,34.572,137.91,248.04,351.93,1.175,85.735,5.9489,0.22556,0.13436,0.044745,0.68586,0.059741,0.10616,0.070036,0.11209,0.14464,1.5831929186560212
596.94,33.181,139.43,296.89,351.97,1.1984,85.731,5.9356,0.22462,0.13414,0.044864,0.47939,0.059433,0.31274,0.071116,0.11135,0.14658,1.5842450453390877
596.94,33.181,134.46,296.89,351.97,1.1984,85.731,5.9356,0.22466,0.13416,0.045013,0.48244,0.059489,0.32421,0.071447,0.11135,0.14664,1.5994024218759284
