Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
1653.1,0.15838,125.21,4.3665,0.055878,0.20033,0.069784,0.13545,0.10834,0.055008,0.6247846803695102
1665.7,0.15851,123.93,4.3246,0.055982,0.19978,0.069819,0.13579,0.1088,0.054895,0.6250756311258687
1665.7,0.15851,123.79,4.3246,0.05598,0.20062,0.069817,0.1358,0.10879,0.054896,0.625902865704742
1660.2,0.15718,124.66,4.2784,0.056095,0.20305,0.069961,0.13598,0.10944,0.054771,0.6292990109329426
1695.2,0.15627,123.83,4.7811,0.055035,0.2136,0.069031,0.13345,0.10341,0.056509,0.6310298554801521
1649.3,0.15809,125.26,4.3691,0.055866,0.20765,0.069792,0.1354,0.10831,0.055017,0.6320297325839772
1665.2,0.15669,125.3,4.2412,0.0562,0.20844,0.070053,0.1362,0.10997,0.054673,0.6355482899345345
1649.4,0.15737,126.63,4.3643,0.055888,0.21343,0.069852,0.13538,0.10847,0.054986,0.6380018796792855
1653.9,0.15654,126.11,4.3988,0.055801,0.21548,0.069776,0.13522,0.108,0.055093,0.639364944874643
1652.6,0.15748,127.13,4.7961,0.054986,0.22247,0.069071,0.13298,0.10339,0.056525,0.6394232419593152
