Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1446.7,0.18012,124.24,4.9446,0.10902,0.05367,0.10258,0.35439,0.13818,0.032828,0.25239,0.1137,0.13708,1.2938368657522692
1453.0,0.17969,124.55,4.8143,0.11008,0.055863,0.1037,0.34904,0.13879,0.033523,0.25168,0.11351,0.1379,1.294093483947709
1452.4,0.17934,124.62,4.8708,0.10965,0.054913,0.10321,0.35198,0.13852,0.033235,0.252,0.11359,0.13754,1.294631377125064
1432.4,0.18208,123.64,4.8926,0.10929,0.054559,0.10297,0.35413,0.13848,0.033058,0.25213,0.11365,0.13741,1.2956727526727445
1445.6,0.18276,123.33,4.9108,0.10949,0.054386,0.10283,0.35569,0.13832,0.032956,0.25222,0.11365,0.13726,1.2967972746243104
1457.2,0.179,124.37,4.8159,0.11022,0.05586,0.10369,0.35165,0.13878,0.033519,0.25169,0.1135,0.13789,1.2967983522738082
1450.0,0.18158,123.36,4.8902,0.10975,0.054723,0.10301,0.3548,0.13842,0.033078,0.25211,0.11361,0.13739,1.296888398631395
1450.8,0.18159,123.25,4.8278,0.11026,0.055764,0.10355,0.35308,0.13873,0.033404,0.25176,0.11352,0.1378,1.2978721788749084
1453.0,0.17852,124.53,4.8607,0.10977,0.055071,0.1033,0.35502,0.13858,0.033293,0.25194,0.11357,0.1376,1.2981561832036561
1447.2,0.18124,123.34,4.936,0.10933,0.053925,0.10263,0.35813,0.13822,0.032841,0.25235,0.11367,0.13712,1.2982186313768604
